Date,Active cases,Cases,Mortalities,Recoveries,CFR Percent,Recovary Percent
2020-03-02,1,1,0,0,0.0,0.0
2020-03-03,1,1,0,0,0.0,0.0
2020-03-04,2,2,0,0,0.0,0.0
2020-03-05,5,5,0,0,0.0,0.0
2020-03-06,5,5,0,0,0.0,0.0
2020-03-07,7,7,0,0,0.0,0.0
2020-03-08,11,11,0,0,0.0,0.0
2020-03-09,14,14,0,0,0.0,0.0
2020-03-10,18,18,0,0,0.0,0.0
2020-03-11,18,18,0,0,0.0,0.0
2020-03-12,20,21,0,1,0.0,4.761904761904762
2020-03-13,31,32,0,1,0.0,3.125
2020-03-14,34,36,0,2,0.0,5.555555555555555
2020-03-15,44,47,0,3,0.0,6.382978723404255
2020-03-16,43,49,0,6,0.0,12.244897959183673
2020-03-17,56,62,0,6,0.0,9.67741935483871
2020-03-18,77,85,0,8,0.0,9.411764705882353
2020-03-19,87,95,0,8,0.0,8.421052631578947
2020-03-20,91,99,0,8,0.0,8.080808080808081
2020-03-21,94,104,0,10,0.0,9.615384615384615
2020-03-22,106,116,0,10,0.0,8.620689655172415
2020-03-23,112,122,0,10,0.0,8.19672131147541
2020-03-24,127,138,0,11,0.0,7.971014492753623
2020-03-25,153,164,0,11,0.0,6.7073170731707314
2020-03-26,166,181,0,15,0.0,8.287292817679559
2020-03-27,184,199,0,15,0.0,7.5376884422110555
2020-03-28,199,214,0,15,0.0,7.009345794392523
2020-03-29,231,247,0,16,0.0,6.477732793522267
2020-03-30,282,299,0,17,0.0,5.68561872909699
2020-03-31,299,319,0,20,0.0,6.269592476489028
2020-04-01,295,328,0,33,0.0,10.060975609756097
2020-04-02,310,352,1,41,0.2840909090909091,11.647727272727273
2020-04-03,325,371,1,45,0.2695417789757412,12.129380053908356
2020-04-04,353,403,1,49,0.24813895781637718,12.158808933002481
2020-04-05,378,432,1,53,0.23148148148148148,12.268518518518519
2020-04-06,394,453,2,57,0.44150110375275936,12.582781456953642
2020-04-07,407,484,3,74,0.6198347107438017,15.289256198347108
2020-04-08,415,496,5,76,1.0080645161290323,15.32258064516129
2020-04-09,435,523,5,83,0.9560229445506692,15.869980879541108
2020-04-10,447,542,5,90,0.922509225092251,16.605166051660518
2020-04-11,443,555,6,106,1.0810810810810811,19.0990990990991
2020-04-12,430,563,7,126,1.2433392539964476,22.380106571936057
2020-04-13,517,656,7,132,1.0670731707317074,20.121951219512194
2020-04-14,700,840,7,133,0.8333333333333334,15.833333333333334
2020-04-15,733,894,7,154,0.7829977628635347,17.225950782997764
2020-04-16,775,954,7,172,0.7337526205450734,18.029350104821802
2020-04-17,889,1082,7,186,0.6469500924214417,17.190388170055453
2020-04-18,1181,1409,7,221,0.49680624556423,15.684882895670688
2020-04-19,1360,1594,7,227,0.43914680050188204,14.24090338770389
2020-04-20,1463,1751,7,281,0.3997715591090805,16.04797258709309
2020-04-21,1729,2079,7,343,0.3367003367003367,16.4983164983165
2020-04-22,1866,2271,7,398,0.30823425803610743,17.525319242624395
2020-04-23,2033,2448,7,408,0.28594771241830064,16.666666666666668
2020-04-24,2135,2596,7,454,0.2696456086286595,17.4884437596302
2020-04-25,2236,2705,8,461,0.2957486136783734,17.042513863216268
2020-04-26,2409,2932,8,515,0.2728512960436562,17.564802182810368
2020-04-27,2478,3050,8,564,0.26229508196721313,18.491803278688526
2020-04-28,2646,3235,12,577,0.37094281298299847,17.836166924265843
2020-04-29,2852,3447,12,583,0.34812880765883375,16.913257905425006
2020-04-30,3172,3791,12,607,0.3165391717225007,16.011606436296493
2020-05-01,3513,4160,12,635,0.28846153846153844,15.264423076923077
2020-05-02,4030,4747,13,704,0.2738571729513377,14.830419212133979
2020-05-03,4624,5419,13,782,0.2398966599003506,14.430706772467245
2020-05-04,4945,5896,13,938,0.22048846675712347,15.909090909090908
2020-05-05,5125,6171,13,1033,0.2106627775076973,16.73958839734241
2020-05-06,5544,6627,14,1069,0.21125697902519994,16.130979326995625
2020-05-07,5813,6999,14,1172,0.20002857551078726,16.74524932133162
2020-05-08,5999,7304,15,1290,0.20536692223439212,17.661555312157724
2020-05-09,5859,7542,15,1668,0.19888623707239458,22.11614956245028
2020-05-10,6041,7931,15,1875,0.18913125709242215,23.64140713655277
2020-05-11,5644,8248,15,2589,0.18186226964112512,31.389427740058196
2020-05-12,5939,8599,15,2645,0.17443888824281895,30.759390626817073
2020-05-13,5926,8843,15,2902,0.16962569263824495,32.816917335745785
2020-05-14,5871,9296,16,3409,0.1721170395869191,36.67168674698795
2020-05-15,6114,9831,16,3701,0.1627504831654969,37.646221137219
2020-05-16,6151,10519,17,4351,0.16161232056279115,41.363247456982606
2020-05-17,6465,11135,18,4652,0.16165244723843736,41.77817691962281
2020-05-18,6281,11464,20,5163,0.17445917655268667,45.03663642707606
2020-05-19,6439,12001,20,5542,0.16665277893508873,46.17948504291309
2020-05-20,5855,12428,20,6553,0.160926939169617,52.72771161892501
