Date,City,Case,Count
2020-03-02,AL Oyoun,Active cases,0
2020-03-02,Adh Dhibiyyah,Active cases,0
2020-03-02,Al Batahaa,Active cases,0
2020-03-02,Al Jafr,Active cases,0
2020-03-02,Al Mubarraz,Active cases,0
2020-03-02,Al Qaysomah,Active cases,0
2020-03-02,Al Suyariah,Active cases,0
2020-03-02,Ar Ruqi,Active cases,0
2020-03-02,As Sufairy,Active cases,0
2020-03-02,Bqeeq,Active cases,0
2020-03-02,Dahran,Active cases,0
2020-03-02,Dammam,Active cases,0
2020-03-02,Hafr Al Batin,Active cases,0
2020-03-02,Hardh,Active cases,0
2020-03-02,Hufof,Active cases,0
2020-03-02,Jubail,Active cases,0
2020-03-02,Khafji,Active cases,0
2020-03-02,Khobar,Active cases,0
2020-03-02,Mulayjah,Active cases,0
2020-03-02,Nairyah,Active cases,0
2020-03-02,Qaryat Al Ulya,Active cases,0
2020-03-02,Qatif,Active cases,1
2020-03-02,Ras Tanura,Active cases,0
2020-03-02,Safwa,Active cases,0
2020-03-02,Saihat,Active cases,0
2020-03-02,Salwa,Active cases,0
2020-03-02,Samodah,Active cases,0
2020-03-02,Urayarah,Active cases,0
2020-03-03,AL Oyoun,Active cases,0
2020-03-03,Adh Dhibiyyah,Active cases,0
2020-03-03,Al Batahaa,Active cases,0
2020-03-03,Al Jafr,Active cases,0
2020-03-03,Al Mubarraz,Active cases,0
2020-03-03,Al Qaysomah,Active cases,0
2020-03-03,Al Suyariah,Active cases,0
2020-03-03,Ar Ruqi,Active cases,0
2020-03-03,As Sufairy,Active cases,0
2020-03-03,Bqeeq,Active cases,0
2020-03-03,Dahran,Active cases,0
2020-03-03,Dammam,Active cases,0
2020-03-03,Hafr Al Batin,Active cases,0
2020-03-03,Hardh,Active cases,0
2020-03-03,Hufof,Active cases,0
2020-03-03,Jubail,Active cases,0
2020-03-03,Khafji,Active cases,0
2020-03-03,Khobar,Active cases,0
2020-03-03,Mulayjah,Active cases,0
2020-03-03,Nairyah,Active cases,0
2020-03-03,Qaryat Al Ulya,Active cases,0
2020-03-03,Qatif,Active cases,1
2020-03-03,Ras Tanura,Active cases,0
2020-03-03,Safwa,Active cases,0
2020-03-03,Saihat,Active cases,0
2020-03-03,Salwa,Active cases,0
2020-03-03,Samodah,Active cases,0
2020-03-03,Urayarah,Active cases,0
2020-03-04,AL Oyoun,Active cases,0
2020-03-04,Adh Dhibiyyah,Active cases,0
2020-03-04,Al Batahaa,Active cases,0
2020-03-04,Al Jafr,Active cases,0
2020-03-04,Al Mubarraz,Active cases,0
2020-03-04,Al Qaysomah,Active cases,0
2020-03-04,Al Suyariah,Active cases,0
2020-03-04,Ar Ruqi,Active cases,0
2020-03-04,As Sufairy,Active cases,0
2020-03-04,Bqeeq,Active cases,0
2020-03-04,Dahran,Active cases,0
2020-03-04,Dammam,Active cases,0
2020-03-04,Hafr Al Batin,Active cases,0
2020-03-04,Hardh,Active cases,0
2020-03-04,Hufof,Active cases,0
2020-03-04,Jubail,Active cases,0
2020-03-04,Khafji,Active cases,0
2020-03-04,Khobar,Active cases,0
2020-03-04,Mulayjah,Active cases,0
2020-03-04,Nairyah,Active cases,0
2020-03-04,Qaryat Al Ulya,Active cases,0
2020-03-04,Qatif,Active cases,2
2020-03-04,Ras Tanura,Active cases,0
2020-03-04,Safwa,Active cases,0
2020-03-04,Saihat,Active cases,0
2020-03-04,Salwa,Active cases,0
2020-03-04,Samodah,Active cases,0
2020-03-04,Urayarah,Active cases,0
2020-03-05,AL Oyoun,Active cases,0
2020-03-05,Adh Dhibiyyah,Active cases,0
2020-03-05,Al Batahaa,Active cases,0
2020-03-05,Al Jafr,Active cases,0
2020-03-05,Al Mubarraz,Active cases,0
2020-03-05,Al Qaysomah,Active cases,0
2020-03-05,Al Suyariah,Active cases,0
2020-03-05,Ar Ruqi,Active cases,0
2020-03-05,As Sufairy,Active cases,0
2020-03-05,Bqeeq,Active cases,0
2020-03-05,Dahran,Active cases,0
2020-03-05,Dammam,Active cases,0
2020-03-05,Hafr Al Batin,Active cases,0
2020-03-05,Hardh,Active cases,0
2020-03-05,Hufof,Active cases,0
2020-03-05,Jubail,Active cases,0
2020-03-05,Khafji,Active cases,0
2020-03-05,Khobar,Active cases,0
2020-03-05,Mulayjah,Active cases,0
2020-03-05,Nairyah,Active cases,0
2020-03-05,Qaryat Al Ulya,Active cases,0
2020-03-05,Qatif,Active cases,5
2020-03-05,Ras Tanura,Active cases,0
2020-03-05,Safwa,Active cases,0
2020-03-05,Saihat,Active cases,0
2020-03-05,Salwa,Active cases,0
2020-03-05,Samodah,Active cases,0
2020-03-05,Urayarah,Active cases,0
2020-03-06,AL Oyoun,Active cases,0
2020-03-06,Adh Dhibiyyah,Active cases,0
2020-03-06,Al Batahaa,Active cases,0
2020-03-06,Al Jafr,Active cases,0
2020-03-06,Al Mubarraz,Active cases,0
2020-03-06,Al Qaysomah,Active cases,0
2020-03-06,Al Suyariah,Active cases,0
2020-03-06,Ar Ruqi,Active cases,0
2020-03-06,As Sufairy,Active cases,0
2020-03-06,Bqeeq,Active cases,0
2020-03-06,Dahran,Active cases,0
2020-03-06,Dammam,Active cases,0
2020-03-06,Hafr Al Batin,Active cases,0
2020-03-06,Hardh,Active cases,0
2020-03-06,Hufof,Active cases,0
2020-03-06,Jubail,Active cases,0
2020-03-06,Khafji,Active cases,0
2020-03-06,Khobar,Active cases,0
2020-03-06,Mulayjah,Active cases,0
2020-03-06,Nairyah,Active cases,0
2020-03-06,Qaryat Al Ulya,Active cases,0
2020-03-06,Qatif,Active cases,5
2020-03-06,Ras Tanura,Active cases,0
2020-03-06,Safwa,Active cases,0
2020-03-06,Saihat,Active cases,0
2020-03-06,Salwa,Active cases,0
2020-03-06,Samodah,Active cases,0
2020-03-06,Urayarah,Active cases,0
2020-03-07,AL Oyoun,Active cases,0
2020-03-07,Adh Dhibiyyah,Active cases,0
2020-03-07,Al Batahaa,Active cases,0
2020-03-07,Al Jafr,Active cases,0
2020-03-07,Al Mubarraz,Active cases,0
2020-03-07,Al Qaysomah,Active cases,0
2020-03-07,Al Suyariah,Active cases,0
2020-03-07,Ar Ruqi,Active cases,0
2020-03-07,As Sufairy,Active cases,0
2020-03-07,Bqeeq,Active cases,0
2020-03-07,Dahran,Active cases,0
2020-03-07,Dammam,Active cases,0
2020-03-07,Hafr Al Batin,Active cases,0
2020-03-07,Hardh,Active cases,0
2020-03-07,Hufof,Active cases,0
2020-03-07,Jubail,Active cases,0
2020-03-07,Khafji,Active cases,0
2020-03-07,Khobar,Active cases,0
2020-03-07,Mulayjah,Active cases,0
2020-03-07,Nairyah,Active cases,0
2020-03-07,Qaryat Al Ulya,Active cases,0
2020-03-07,Qatif,Active cases,7
2020-03-07,Ras Tanura,Active cases,0
2020-03-07,Safwa,Active cases,0
2020-03-07,Saihat,Active cases,0
2020-03-07,Salwa,Active cases,0
2020-03-07,Samodah,Active cases,0
2020-03-07,Urayarah,Active cases,0
