Date,region,Case,Count
2020-03-02,Al Bahah,Active cases,0
2020-03-02,Al Jouf,Active cases,0
2020-03-02,Asir,Active cases,0
2020-03-02,Eastern Region,Active cases,1
2020-03-02,Hail,Active cases,0
2020-03-02,Jazan,Active cases,0
2020-03-02,Mecca,Active cases,0
2020-03-02,Medina,Active cases,0
2020-03-02,Najran,Active cases,0
2020-03-02,Northern Borders,Active cases,0
2020-03-02,Qassim,Active cases,0
2020-03-02,Riyadh,Active cases,0
2020-03-02,Tabuk,Active cases,0
2020-03-03,Al Bahah,Active cases,0
2020-03-03,Al Jouf,Active cases,0
2020-03-03,Asir,Active cases,0
2020-03-03,Eastern Region,Active cases,1
2020-03-03,Hail,Active cases,0
2020-03-03,Jazan,Active cases,0
2020-03-03,Mecca,Active cases,0
2020-03-03,Medina,Active cases,0
2020-03-03,Najran,Active cases,0
2020-03-03,Northern Borders,Active cases,0
2020-03-03,Qassim,Active cases,0
2020-03-03,Riyadh,Active cases,0
2020-03-03,Tabuk,Active cases,0
2020-03-04,Al Bahah,Active cases,0
2020-03-04,Al Jouf,Active cases,0
2020-03-04,Asir,Active cases,0
2020-03-04,Eastern Region,Active cases,2
2020-03-04,Hail,Active cases,0
2020-03-04,Jazan,Active cases,0
2020-03-04,Mecca,Active cases,0
2020-03-04,Medina,Active cases,0
2020-03-04,Najran,Active cases,0
2020-03-04,Northern Borders,Active cases,0
2020-03-04,Qassim,Active cases,0
2020-03-04,Riyadh,Active cases,0
2020-03-04,Tabuk,Active cases,0
2020-03-05,Al Bahah,Active cases,0
2020-03-05,Al Jouf,Active cases,0
2020-03-05,Asir,Active cases,0
2020-03-05,Eastern Region,Active cases,5
2020-03-05,Hail,Active cases,0
2020-03-05,Jazan,Active cases,0
2020-03-05,Mecca,Active cases,0
2020-03-05,Medina,Active cases,0
2020-03-05,Najran,Active cases,0
2020-03-05,Northern Borders,Active cases,0
2020-03-05,Qassim,Active cases,0
2020-03-05,Riyadh,Active cases,0
2020-03-05,Tabuk,Active cases,0
2020-03-06,Al Bahah,Active cases,0
2020-03-06,Al Jouf,Active cases,0
2020-03-06,Asir,Active cases,0
2020-03-06,Eastern Region,Active cases,5
2020-03-06,Hail,Active cases,0
2020-03-06,Jazan,Active cases,0
2020-03-06,Mecca,Active cases,0
2020-03-06,Medina,Active cases,0
2020-03-06,Najran,Active cases,0
2020-03-06,Northern Borders,Active cases,0
2020-03-06,Qassim,Active cases,0
2020-03-06,Riyadh,Active cases,0
2020-03-06,Tabuk,Active cases,0
2020-03-07,Al Bahah,Active cases,0
2020-03-07,Al Jouf,Active cases,0
2020-03-07,Asir,Active cases,0
2020-03-07,Eastern Region,Active cases,7
2020-03-07,Hail,Active cases,0
2020-03-07,Jazan,Active cases,0
2020-03-07,Mecca,Active cases,0
2020-03-07,Medina,Active cases,0
2020-03-07,Najran,Active cases,0
2020-03-07,Northern Borders,Active cases,0
2020-03-07,Qassim,Active cases,0
2020-03-07,Riyadh,Active cases,0
2020-03-07,Tabuk,Active cases,0
2020-03-08,Al Bahah,Active cases,0
2020-03-08,Al Jouf,Active cases,0
2020-03-08,Asir,Active cases,0
2020-03-08,Eastern Region,Active cases,11
2020-03-08,Hail,Active cases,0
2020-03-08,Jazan,Active cases,0
2020-03-08,Mecca,Active cases,0
2020-03-08,Medina,Active cases,0
2020-03-08,Najran,Active cases,0
2020-03-08,Northern Borders,Active cases,0
2020-03-08,Qassim,Active cases,0
2020-03-08,Riyadh,Active cases,0
2020-03-08,Tabuk,Active cases,0
2020-03-09,Al Bahah,Active cases,0
2020-03-09,Al Jouf,Active cases,0
2020-03-09,Asir,Active cases,0
2020-03-09,Eastern Region,Active cases,14
2020-03-09,Hail,Active cases,0
2020-03-09,Jazan,Active cases,0
2020-03-09,Mecca,Active cases,0
2020-03-09,Medina,Active cases,0
2020-03-09,Najran,Active cases,0
2020-03-09,Northern Borders,Active cases,0
2020-03-09,Qassim,Active cases,0
2020-03-09,Riyadh,Active cases,1
2020-03-09,Tabuk,Active cases,0
2020-03-10,Al Bahah,Active cases,0
2020-03-10,Al Jouf,Active cases,0
2020-03-10,Asir,Active cases,0
2020-03-10,Eastern Region,Active cases,18
2020-03-10,Hail,Active cases,0
2020-03-10,Jazan,Active cases,0
2020-03-10,Mecca,Active cases,1
2020-03-10,Medina,Active cases,0
2020-03-10,Najran,Active cases,0
2020-03-10,Northern Borders,Active cases,0
2020-03-10,Qassim,Active cases,0
2020-03-10,Riyadh,Active cases,1
2020-03-10,Tabuk,Active cases,0
2020-03-11,Al Bahah,Active cases,0
2020-03-11,Al Jouf,Active cases,0
2020-03-11,Asir,Active cases,0
2020-03-11,Eastern Region,Active cases,18
2020-03-11,Hail,Active cases,0
2020-03-11,Jazan,Active cases,0
2020-03-11,Mecca,Active cases,2
2020-03-11,Medina,Active cases,0
2020-03-11,Najran,Active cases,0
2020-03-11,Northern Borders,Active cases,0
2020-03-11,Qassim,Active cases,0
2020-03-11,Riyadh,Active cases,1
2020-03-11,Tabuk,Active cases,0
2020-03-12,Al Bahah,Active cases,0
2020-03-12,Al Jouf,Active cases,0
2020-03-12,Asir,Active cases,0
2020-03-12,Eastern Region,Active cases,20
2020-03-12,Hail,Active cases,0
2020-03-12,Jazan,Active cases,0
2020-03-12,Mecca,Active cases,23
2020-03-12,Medina,Active cases,0
2020-03-12,Najran,Active cases,0
2020-03-12,Northern Borders,Active cases,0
2020-03-12,Qassim,Active cases,0
2020-03-12,Riyadh,Active cases,1
2020-03-12,Tabuk,Active cases,0
2020-03-13,Al Bahah,Active cases,0
2020-03-13,Al Jouf,Active cases,0
2020-03-13,Asir,Active cases,0
2020-03-13,Eastern Region,Active cases,31
2020-03-13,Hail,Active cases,0
2020-03-13,Jazan,Active cases,0
2020-03-13,Mecca,Active cases,50
2020-03-13,Medina,Active cases,0
2020-03-13,Najran,Active cases,0
2020-03-13,Northern Borders,Active cases,0
2020-03-13,Qassim,Active cases,0
2020-03-13,Riyadh,Active cases,4
2020-03-13,Tabuk,Active cases,0
2020-03-14,Al Bahah,Active cases,0
2020-03-14,Al Jouf,Active cases,0
2020-03-14,Asir,Active cases,0
2020-03-14,Eastern Region,Active cases,34
2020-03-14,Hail,Active cases,0
2020-03-14,Jazan,Active cases,0
2020-03-14,Mecca,Active cases,51
2020-03-14,Medina,Active cases,0
2020-03-14,Najran,Active cases,0
2020-03-14,Northern Borders,Active cases,0
2020-03-14,Qassim,Active cases,0
2020-03-14,Riyadh,Active cases,16
2020-03-14,Tabuk,Active cases,0
2020-03-15,Al Bahah,Active cases,0
2020-03-15,Al Jouf,Active cases,0
2020-03-15,Asir,Active cases,0
2020-03-15,Eastern Region,Active cases,44
2020-03-15,Hail,Active cases,0
2020-03-15,Jazan,Active cases,0
2020-03-15,Mecca,Active cases,53
2020-03-15,Medina,Active cases,0
2020-03-15,Najran,Active cases,0
2020-03-15,Northern Borders,Active cases,0
2020-03-15,Qassim,Active cases,0
2020-03-15,Riyadh,Active cases,18
2020-03-15,Tabuk,Active cases,0
2020-03-16,Al Bahah,Active cases,0
2020-03-16,Al Jouf,Active cases,0
2020-03-16,Asir,Active cases,0
2020-03-16,Eastern Region,Active cases,43
2020-03-16,Hail,Active cases,0
2020-03-16,Jazan,Active cases,2
2020-03-16,Mecca,Active cases,60
2020-03-16,Medina,Active cases,0
2020-03-16,Najran,Active cases,0
2020-03-16,Northern Borders,Active cases,0
2020-03-16,Qassim,Active cases,0
2020-03-16,Riyadh,Active cases,22
2020-03-16,Tabuk,Active cases,0
2020-03-17,Al Bahah,Active cases,0
2020-03-17,Al Jouf,Active cases,0
2020-03-17,Asir,Active cases,0
2020-03-17,Eastern Region,Active cases,56
