Date,City,Cases,Mortalities,Recoveries
2020-03-02,AL Oyoun,0,0,0
2020-03-02,Adh Dhibiyyah,0,0,0
2020-03-02,Al Batahaa,0,0,0
2020-03-02,Al Jafr,0,0,0
2020-03-02,Al Mubarraz,0,0,0
2020-03-02,Al Qaysomah,0,0,0
2020-03-02,Al Suyariah,0,0,0
2020-03-02,Ar Ruqi,0,0,0
2020-03-02,As Sufairy,0,0,0
2020-03-02,Bqeeq,0,0,0
2020-03-02,Dahran,0,0,0
2020-03-02,Dammam,0,0,0
2020-03-02,Hafr Al Batin,0,0,0
2020-03-02,Hardh,0,0,0
2020-03-02,Hufof,0,0,0
2020-03-02,Jubail,0,0,0
2020-03-02,Khafji,0,0,0
2020-03-02,Khobar,0,0,0
2020-03-02,Mulayjah,0,0,0
2020-03-02,Nairyah,0,0,0
2020-03-02,Qaryat Al Ulya,0,0,0
2020-03-02,Qatif,1,0,0
2020-03-02,Ras Tanura,0,0,0
2020-03-02,Safwa,0,0,0
2020-03-02,Saihat,0,0,0
2020-03-02,Salwa,0,0,0
2020-03-02,Samodah,0,0,0
2020-03-02,Urayarah,0,0,0
2020-03-04,AL Oyoun,0,0,0
2020-03-04,Adh Dhibiyyah,0,0,0
2020-03-04,Al Batahaa,0,0,0
2020-03-04,Al Jafr,0,0,0
2020-03-04,Al Mubarraz,0,0,0
2020-03-04,Al Qaysomah,0,0,0
2020-03-04,Al Suyariah,0,0,0
2020-03-04,Ar Ruqi,0,0,0
2020-03-04,As Sufairy,0,0,0
2020-03-04,Bqeeq,0,0,0
2020-03-04,Dahran,0,0,0
2020-03-04,Dammam,0,0,0
2020-03-04,Hafr Al Batin,0,0,0
2020-03-04,Hardh,0,0,0
2020-03-04,Hufof,0,0,0
2020-03-04,Jubail,0,0,0
2020-03-04,Khafji,0,0,0
2020-03-04,Khobar,0,0,0
2020-03-04,Mulayjah,0,0,0
2020-03-04,Nairyah,0,0,0
2020-03-04,Qaryat Al Ulya,0,0,0
2020-03-04,Qatif,1,0,0
2020-03-04,Ras Tanura,0,0,0
2020-03-04,Safwa,0,0,0
2020-03-04,Saihat,0,0,0
2020-03-04,Salwa,0,0,0
2020-03-04,Samodah,0,0,0
2020-03-04,Urayarah,0,0,0
2020-03-05,AL Oyoun,0,0,0
2020-03-05,Adh Dhibiyyah,0,0,0
2020-03-05,Al Batahaa,0,0,0
2020-03-05,Al Jafr,0,0,0
2020-03-05,Al Mubarraz,0,0,0
2020-03-05,Al Qaysomah,0,0,0
2020-03-05,Al Suyariah,0,0,0
2020-03-05,Ar Ruqi,0,0,0
2020-03-05,As Sufairy,0,0,0
2020-03-05,Bqeeq,0,0,0
2020-03-05,Dahran,0,0,0
2020-03-05,Dammam,0,0,0
2020-03-05,Hafr Al Batin,0,0,0
2020-03-05,Hardh,0,0,0
2020-03-05,Hufof,0,0,0
2020-03-05,Jubail,0,0,0
2020-03-05,Khafji,0,0,0
2020-03-05,Khobar,0,0,0
