City,Date,Cases,Cumulative Cases
AL Oyoun,2020-03-08,0,0
AL Oyoun,2020-03-15,0,0
AL Oyoun,2020-03-22,0,0
AL Oyoun,2020-03-29,0,0
AL Oyoun,2020-04-05,0,0
AL Oyoun,2020-04-12,0,0
AL Oyoun,2020-04-19,0,0
AL Oyoun,2020-04-26,0,0
AL Oyoun,2020-05-03,0,0
AL Oyoun,2020-05-10,0,0
AL Oyoun,2020-05-17,0,0
AL Oyoun,2020-05-24,3,3
AL Oyoun,2020-05-31,4,7
AL Oyoun,2020-06-07,34,41
AL Oyoun,2020-06-14,104,145
AL Oyoun,2020-06-21,102,247
AL Oyoun,2020-06-28,55,302
AL Oyoun,2020-07-05,105,407
AL Oyoun,2020-07-12,77,484
AL Oyoun,2020-07-19,9,493
Adh Dhibiyyah,2020-03-08,0,0
Adh Dhibiyyah,2020-03-15,0,0
Adh Dhibiyyah,2020-03-22,0,0
Adh Dhibiyyah,2020-03-29,0,0
Adh Dhibiyyah,2020-04-05,0,0
Adh Dhibiyyah,2020-04-12,0,0
Adh Dhibiyyah,2020-04-19,0,0
Adh Dhibiyyah,2020-04-26,0,0
Adh Dhibiyyah,2020-05-03,0,0
Adh Dhibiyyah,2020-05-10,0,0
Adh Dhibiyyah,2020-05-17,0,0
Adh Dhibiyyah,2020-05-24,0,0
Adh Dhibiyyah,2020-05-31,0,0
Adh Dhibiyyah,2020-06-07,0,0
Adh Dhibiyyah,2020-06-14,0,0
Adh Dhibiyyah,2020-06-21,0,0
Adh Dhibiyyah,2020-06-28,1,1
Adh Dhibiyyah,2020-07-05,1,2
Adh Dhibiyyah,2020-07-12,3,5
Adh Dhibiyyah,2020-07-19,7,12
Al Batahaa,2020-03-08,0,0
Al Batahaa,2020-03-15,0,0
Al Batahaa,2020-03-22,0,0
Al Batahaa,2020-03-29,0,0
Al Batahaa,2020-04-05,0,0
Al Batahaa,2020-04-12,0,0
Al Batahaa,2020-04-19,0,0
Al Batahaa,2020-04-26,0,0
Al Batahaa,2020-05-03,0,0
Al Batahaa,2020-05-10,0,0
Al Batahaa,2020-05-17,0,0
Al Batahaa,2020-05-24,5,5
Al Batahaa,2020-05-31,5,10
Al Batahaa,2020-06-07,3,13
Al Batahaa,2020-06-14,2,15
Al Batahaa,2020-06-21,9,24
Al Batahaa,2020-06-28,17,41
Al Batahaa,2020-07-05,13,54
Al Batahaa,2020-07-12,33,87
Al Batahaa,2020-07-19,8,95
Al Jafr,2020-03-08,0,0
Al Jafr,2020-03-15,0,0
Al Jafr,2020-03-22,0,0
Al Jafr,2020-03-29,0,0
Al Jafr,2020-04-05,0,0
Al Jafr,2020-04-12,0,0
Al Jafr,2020-04-19,2,2
Al Jafr,2020-04-26,1,3
Al Jafr,2020-05-03,12,15
Al Jafr,2020-05-10,7,22
Al Jafr,2020-05-17,12,34
Al Jafr,2020-05-24,22,56
Al Jafr,2020-05-31,28,84
Al Jafr,2020-06-07,79,163
Al Jafr,2020-06-14,57,220
Al Jafr,2020-06-21,73,293
Al Jafr,2020-06-28,65,358
Al Jafr,2020-07-05,108,466
Al Jafr,2020-07-12,125,591
Al Jafr,2020-07-19,55,646
Al Mubarraz,2020-03-08,0,0
Al Mubarraz,2020-03-15,0,0
Al Mubarraz,2020-03-22,0,0
Al Mubarraz,2020-03-29,0,0
Al Mubarraz,2020-04-05,2,2
Al Mubarraz,2020-04-12,0,2
Al Mubarraz,2020-04-19,0,2
Al Mubarraz,2020-04-26,0,2
Al Mubarraz,2020-05-03,0,2
Al Mubarraz,2020-05-10,0,2
Al Mubarraz,2020-05-17,1,3
Al Mubarraz,2020-05-24,13,16
Al Mubarraz,2020-05-31,35,51
Al Mubarraz,2020-06-07,217,268
Al Mubarraz,2020-06-14,327,595
Al Mubarraz,2020-06-21,618,1213
Al Mubarraz,2020-06-28,1032,2245
Al Mubarraz,2020-07-05,1305,3550
Al Mubarraz,2020-07-12,987,4537
Al Mubarraz,2020-07-19,530,5067
Al Qaysomah,2020-03-08,0,0
Al Qaysomah,2020-03-15,0,0
Al Qaysomah,2020-03-22,0,0
Al Qaysomah,2020-03-29,0,0
Al Qaysomah,2020-04-05,0,0
Al Qaysomah,2020-04-12,0,0
Al Qaysomah,2020-04-19,0,0
Al Qaysomah,2020-04-26,0,0
Al Qaysomah,2020-05-03,0,0
Al Qaysomah,2020-05-10,0,0
Al Qaysomah,2020-05-17,0,0
Al Qaysomah,2020-05-24,0,0
Al Qaysomah,2020-05-31,0,0
Al Qaysomah,2020-06-07,0,0
Al Qaysomah,2020-06-14,0,0
Al Qaysomah,2020-06-21,0,0
Al Qaysomah,2020-06-28,17,17
Al Qaysomah,2020-07-05,14,31
Al Qaysomah,2020-07-12,23,54
Al Qaysomah,2020-07-19,11,65
Al Suyariah,2020-03-08,0,0
Al Suyariah,2020-03-15,0,0
Al Suyariah,2020-03-22,0,0
Al Suyariah,2020-03-29,0,0
Al Suyariah,2020-04-05,0,0
Al Suyariah,2020-04-12,0,0
Al Suyariah,2020-04-19,0,0
Al Suyariah,2020-04-26,0,0
Al Suyariah,2020-05-03,0,0
Al Suyariah,2020-05-10,0,0
Al Suyariah,2020-05-17,0,0
Al Suyariah,2020-05-24,0,0
Al Suyariah,2020-05-31,0,0
Al Suyariah,2020-06-07,0,0
Al Suyariah,2020-06-14,0,0
Al Suyariah,2020-06-21,0,0
Al Suyariah,2020-06-28,1,1
Al Suyariah,2020-07-05,0,1
Al Suyariah,2020-07-12,1,2
Al Suyariah,2020-07-19,0,2
Ar Ruqi,2020-03-08,0,0
Ar Ruqi,2020-03-15,0,0
Ar Ruqi,2020-03-22,0,0
Ar Ruqi,2020-03-29,0,0
Ar Ruqi,2020-04-05,0,0
Ar Ruqi,2020-04-12,0,0
Ar Ruqi,2020-04-19,0,0
Ar Ruqi,2020-04-26,0,0
Ar Ruqi,2020-05-03,0,0
Ar Ruqi,2020-05-10,0,0
Ar Ruqi,2020-05-17,0,0
Ar Ruqi,2020-05-24,0,0
Ar Ruqi,2020-05-31,0,0
Ar Ruqi,2020-06-07,0,0
Ar Ruqi,2020-06-14,0,0
Ar Ruqi,2020-06-21,0,0
Ar Ruqi,2020-06-28,1,1
Ar Ruqi,2020-07-05,1,2
Ar Ruqi,2020-07-12,1,3
Ar Ruqi,2020-07-19,0,3
As Sufairy,2020-03-08,0,0
As Sufairy,2020-03-15,0,0
As Sufairy,2020-03-22,0,0
As Sufairy,2020-03-29,0,0
As Sufairy,2020-04-05,0,0
As Sufairy,2020-04-12,0,0
As Sufairy,2020-04-19,0,0
As Sufairy,2020-04-26,0,0
As Sufairy,2020-05-03,0,0
As Sufairy,2020-05-10,0,0
As Sufairy,2020-05-17,0,0
As Sufairy,2020-05-24,0,0
As Sufairy,2020-05-31,0,0
As Sufairy,2020-06-07,0,0
As Sufairy,2020-06-14,0,0
As Sufairy,2020-06-21,0,0
As Sufairy,2020-06-28,0,0
As Sufairy,2020-07-05,0,0
As Sufairy,2020-07-12,1,1
As Sufairy,2020-07-19,0,1
Bqeeq,2020-03-08,0,0
Bqeeq,2020-03-15,0,0
Bqeeq,2020-03-22,0,0
Bqeeq,2020-03-29,0,0
Bqeeq,2020-04-05,0,0
Bqeeq,2020-04-12,0,0
Bqeeq,2020-04-19,0,0
Bqeeq,2020-04-26,19,19
Bqeeq,2020-05-03,8,27
Bqeeq,2020-05-10,13,40
Bqeeq,2020-05-17,58,98
Bqeeq,2020-05-24,18,116
Bqeeq,2020-05-31,45,161
Bqeeq,2020-06-07,25,186
Bqeeq,2020-06-14,42,228
Bqeeq,2020-06-21,80,308
Bqeeq,2020-06-28,127,435
Bqeeq,2020-07-05,172,607
Bqeeq,2020-07-12,187,794
Bqeeq,2020-07-19,41,835
Dahran,2020-03-08,0,0
Dahran,2020-03-15,3,3
Dahran,2020-03-22,8,11
Dahran,2020-03-29,8,19
Dahran,2020-04-05,17,36
Dahran,2020-04-12,6,42
Dahran,2020-04-19,15,57
Dahran,2020-04-26,29,86
Dahran,2020-05-03,40,126
Dahran,2020-05-10,29,155
Dahran,2020-05-17,139,294
Dahran,2020-05-24,199,493
Dahran,2020-05-31,141,634
Dahran,2020-06-07,228,862
Dahran,2020-06-14,334,1196
Dahran,2020-06-21,405,1601
Dahran,2020-06-28,571,2172
Dahran,2020-07-05,405,2577
Dahran,2020-07-12,293,2870
Dahran,2020-07-19,125,2995
Dammam,2020-03-08,0,0
Dammam,2020-03-15,12,12
Dammam,2020-03-22,28,40
Dammam,2020-03-29,55,95
Dammam,2020-04-05,51,146
Dammam,2020-04-12,44,190
Dammam,2020-04-19,569,759
Dammam,2020-04-26,275,1034
Dammam,2020-05-03,870,1904
Dammam,2020-05-10,836,2740
Dammam,2020-05-17,1106,3846
Dammam,2020-05-24,852,4698
Dammam,2020-05-31,926,5624
Dammam,2020-06-07,1106,6730
Dammam,2020-06-14,1363,8093
Dammam,2020-06-21,1423,9516
Dammam,2020-06-28,2342,11858
Dammam,2020-07-05,1977,13835
Dammam,2020-07-12,1302,15137
Dammam,2020-07-19,437,15574
Hafr Al Batin,2020-03-08,0,0
Hafr Al Batin,2020-03-15,0,0
Hafr Al Batin,2020-03-22,1,1
Hafr Al Batin,2020-03-29,0,1
Hafr Al Batin,2020-04-05,0,1
Hafr Al Batin,2020-04-12,0,1
Hafr Al Batin,2020-04-19,0,1
Hafr Al Batin,2020-04-26,16,17
Hafr Al Batin,2020-05-03,5,22
Hafr Al Batin,2020-05-10,10,32
Hafr Al Batin,2020-05-17,34,66
