Date,City,Case,Count
2020-03-02,AL Oyoun,Cases,0
2020-03-02,Adh Dhibiyyah,Cases,0
2020-03-02,Al Batahaa,Cases,0
2020-03-02,Al Jafr,Cases,0
2020-03-02,Al Mubarraz,Cases,0
2020-03-02,Al Qaysomah,Cases,0
2020-03-02,Al Suyariah,Cases,0
2020-03-02,Ar Ruqi,Cases,0
2020-03-02,As Sufairy,Cases,0
2020-03-02,Bqeeq,Cases,0
2020-03-02,Dahran,Cases,0
2020-03-02,Dammam,Cases,0
2020-03-02,Hafr Al Batin,Cases,0
2020-03-02,Hardh,Cases,0
2020-03-02,Hufof,Cases,0
2020-03-02,Jubail,Cases,0
2020-03-02,Khafji,Cases,0
2020-03-02,Khobar,Cases,0
2020-03-02,Mulayjah,Cases,0
2020-03-02,Nairyah,Cases,0
2020-03-02,Qaryat Al Ulya,Cases,0
2020-03-02,Qatif,Cases,1
2020-03-02,Ras Tanura,Cases,0
2020-03-02,Safwa,Cases,0
2020-03-02,Saihat,Cases,0
2020-03-02,Salwa,Cases,0
2020-03-02,Samodah,Cases,0
2020-03-02,Urayarah,Cases,0
2020-03-04,AL Oyoun,Cases,0
2020-03-04,Adh Dhibiyyah,Cases,0
2020-03-04,Al Batahaa,Cases,0
2020-03-04,Al Jafr,Cases,0
2020-03-04,Al Mubarraz,Cases,0
2020-03-04,Al Qaysomah,Cases,0
2020-03-04,Al Suyariah,Cases,0
2020-03-04,Ar Ruqi,Cases,0
2020-03-04,As Sufairy,Cases,0
2020-03-04,Bqeeq,Cases,0
2020-03-04,Dahran,Cases,0
2020-03-04,Dammam,Cases,0
2020-03-04,Hafr Al Batin,Cases,0
2020-03-04,Hardh,Cases,0
2020-03-04,Hufof,Cases,0
2020-03-04,Jubail,Cases,0
2020-03-04,Khafji,Cases,0
2020-03-04,Khobar,Cases,0
2020-03-04,Mulayjah,Cases,0
2020-03-04,Nairyah,Cases,0
2020-03-04,Qaryat Al Ulya,Cases,0
2020-03-04,Qatif,Cases,1
2020-03-04,Ras Tanura,Cases,0
2020-03-04,Safwa,Cases,0
2020-03-04,Saihat,Cases,0
2020-03-04,Salwa,Cases,0
2020-03-04,Samodah,Cases,0
2020-03-04,Urayarah,Cases,0
2020-03-05,AL Oyoun,Cases,0
2020-03-05,Adh Dhibiyyah,Cases,0
2020-03-05,Al Batahaa,Cases,0
2020-03-05,Al Jafr,Cases,0
2020-03-05,Al Mubarraz,Cases,0
2020-03-05,Al Qaysomah,Cases,0
2020-03-05,Al Suyariah,Cases,0
2020-03-05,Ar Ruqi,Cases,0
2020-03-05,As Sufairy,Cases,0
2020-03-05,Bqeeq,Cases,0
2020-03-05,Dahran,Cases,0
2020-03-05,Dammam,Cases,0
2020-03-05,Hafr Al Batin,Cases,0
2020-03-05,Hardh,Cases,0
2020-03-05,Hufof,Cases,0
2020-03-05,Jubail,Cases,0
2020-03-05,Khafji,Cases,0
2020-03-05,Khobar,Cases,0
2020-03-05,Mulayjah,Cases,0
2020-03-05,Nairyah,Cases,0
2020-03-05,Qaryat Al Ulya,Cases,0
2020-03-05,Qatif,Cases,3
2020-03-05,Ras Tanura,Cases,0
2020-03-05,Safwa,Cases,0
2020-03-05,Saihat,Cases,0
2020-03-05,Salwa,Cases,0
2020-03-05,Samodah,Cases,0
2020-03-05,Urayarah,Cases,0
2020-03-07,AL Oyoun,Cases,0
2020-03-07,Adh Dhibiyyah,Cases,0
2020-03-07,Al Batahaa,Cases,0
2020-03-07,Al Jafr,Cases,0
2020-03-07,Al Mubarraz,Cases,0
2020-03-07,Al Qaysomah,Cases,0
2020-03-07,Al Suyariah,Cases,0
2020-03-07,Ar Ruqi,Cases,0
2020-03-07,As Sufairy,Cases,0
2020-03-07,Bqeeq,Cases,0
2020-03-07,Dahran,Cases,0
2020-03-07,Dammam,Cases,0
2020-03-07,Hafr Al Batin,Cases,0
2020-03-07,Hardh,Cases,0
2020-03-07,Hufof,Cases,0
2020-03-07,Jubail,Cases,0
2020-03-07,Khafji,Cases,0
2020-03-07,Khobar,Cases,0
2020-03-07,Mulayjah,Cases,0
2020-03-07,Nairyah,Cases,0
2020-03-07,Qaryat Al Ulya,Cases,0
2020-03-07,Qatif,Cases,2
2020-03-07,Ras Tanura,Cases,0
2020-03-07,Safwa,Cases,0
2020-03-07,Saihat,Cases,0
2020-03-07,Salwa,Cases,0
2020-03-07,Samodah,Cases,0
2020-03-07,Urayarah,Cases,0
2020-03-08,AL Oyoun,Cases,0
2020-03-08,Adh Dhibiyyah,Cases,0
2020-03-08,Al Batahaa,Cases,0
2020-03-08,Al Jafr,Cases,0
2020-03-08,Al Mubarraz,Cases,0
2020-03-08,Al Qaysomah,Cases,0
2020-03-08,Al Suyariah,Cases,0
2020-03-08,Ar Ruqi,Cases,0
2020-03-08,As Sufairy,Cases,0
2020-03-08,Bqeeq,Cases,0
2020-03-08,Dahran,Cases,0
2020-03-08,Dammam,Cases,0
2020-03-08,Hafr Al Batin,Cases,0
2020-03-08,Hardh,Cases,0
2020-03-08,Hufof,Cases,0
2020-03-08,Jubail,Cases,0
2020-03-08,Khafji,Cases,0
2020-03-08,Khobar,Cases,0
2020-03-08,Mulayjah,Cases,0
