Date,region,Case,Count
2020-03-02,Al Bahah,Cases,0
2020-03-02,Al Jouf,Cases,0
2020-03-02,Asir,Cases,0
2020-03-02,Eastern Region,Cases,1
2020-03-02,Hail,Cases,0
2020-03-02,Jazan,Cases,0
2020-03-02,Mecca,Cases,0
2020-03-02,Medina,Cases,0
2020-03-02,Najran,Cases,0
2020-03-02,Northern Borders,Cases,0
2020-03-02,Qassim,Cases,0
2020-03-02,Riyadh,Cases,0
2020-03-02,Tabuk,Cases,0
2020-03-04,Al Bahah,Cases,0
2020-03-04,Al Jouf,Cases,0
2020-03-04,Asir,Cases,0
2020-03-04,Eastern Region,Cases,1
2020-03-04,Hail,Cases,0
2020-03-04,Jazan,Cases,0
2020-03-04,Mecca,Cases,0
2020-03-04,Medina,Cases,0
2020-03-04,Najran,Cases,0
2020-03-04,Northern Borders,Cases,0
2020-03-04,Qassim,Cases,0
2020-03-04,Riyadh,Cases,0
2020-03-04,Tabuk,Cases,0
2020-03-05,Al Bahah,Cases,0
2020-03-05,Al Jouf,Cases,0
2020-03-05,Asir,Cases,0
2020-03-05,Eastern Region,Cases,3
2020-03-05,Hail,Cases,0
2020-03-05,Jazan,Cases,0
2020-03-05,Mecca,Cases,0
2020-03-05,Medina,Cases,0
2020-03-05,Najran,Cases,0
2020-03-05,Northern Borders,Cases,0
2020-03-05,Qassim,Cases,0
2020-03-05,Riyadh,Cases,0
2020-03-05,Tabuk,Cases,0
2020-03-07,Al Bahah,Cases,0
2020-03-07,Al Jouf,Cases,0
2020-03-07,Asir,Cases,0
2020-03-07,Eastern Region,Cases,2
2020-03-07,Hail,Cases,0
2020-03-07,Jazan,Cases,0
2020-03-07,Mecca,Cases,0
2020-03-07,Medina,Cases,0
2020-03-07,Najran,Cases,0
2020-03-07,Northern Borders,Cases,0
2020-03-07,Qassim,Cases,0
2020-03-07,Riyadh,Cases,0
2020-03-07,Tabuk,Cases,0
2020-03-08,Al Bahah,Cases,0
2020-03-08,Al Jouf,Cases,0
2020-03-08,Asir,Cases,0
2020-03-08,Eastern Region,Cases,4
2020-03-08,Hail,Cases,0
2020-03-08,Jazan,Cases,0
2020-03-08,Mecca,Cases,0
2020-03-08,Medina,Cases,0
2020-03-08,Najran,Cases,0
2020-03-08,Northern Borders,Cases,0
2020-03-08,Qassim,Cases,0
2020-03-08,Riyadh,Cases,0
2020-03-08,Tabuk,Cases,0
2020-03-09,Al Bahah,Cases,0
2020-03-09,Al Jouf,Cases,0
2020-03-09,Asir,Cases,0
2020-03-09,Eastern Region,Cases,3
2020-03-09,Hail,Cases,0
2020-03-09,Jazan,Cases,0
2020-03-09,Mecca,Cases,0
2020-03-09,Medina,Cases,0
2020-03-09,Najran,Cases,0
2020-03-09,Northern Borders,Cases,0
2020-03-09,Qassim,Cases,0
2020-03-09,Riyadh,Cases,1
2020-03-09,Tabuk,Cases,0
2020-03-10,Al Bahah,Cases,0
2020-03-10,Al Jouf,Cases,0
2020-03-10,Asir,Cases,0
2020-03-10,Eastern Region,Cases,4
2020-03-10,Hail,Cases,0
2020-03-10,Jazan,Cases,0
2020-03-10,Mecca,Cases,1
2020-03-10,Medina,Cases,0
2020-03-10,Najran,Cases,0
2020-03-10,Northern Borders,Cases,0
2020-03-10,Qassim,Cases,0
2020-03-10,Riyadh,Cases,0
2020-03-10,Tabuk,Cases,0
2020-03-11,Al Bahah,Cases,0
2020-03-11,Al Jouf,Cases,0
2020-03-11,Asir,Cases,0
2020-03-11,Eastern Region,Cases,0
2020-03-11,Hail,Cases,0
2020-03-11,Jazan,Cases,0
2020-03-11,Mecca,Cases,1
2020-03-11,Medina,Cases,0
2020-03-11,Najran,Cases,0
2020-03-11,Northern Borders,Cases,0
2020-03-11,Qassim,Cases,0
2020-03-11,Riyadh,Cases,0
2020-03-11,Tabuk,Cases,0
2020-03-12,Al Bahah,Cases,0
2020-03-12,Al Jouf,Cases,0
2020-03-12,Asir,Cases,0
2020-03-12,Eastern Region,Cases,3
2020-03-12,Hail,Cases,0
2020-03-12,Jazan,Cases,0
2020-03-12,Mecca,Cases,21
2020-03-12,Medina,Cases,0
2020-03-12,Najran,Cases,0
2020-03-12,Northern Borders,Cases,0
2020-03-12,Qassim,Cases,0
2020-03-12,Riyadh,Cases,0
2020-03-12,Tabuk,Cases,0
2020-03-13,Al Bahah,Cases,0
2020-03-13,Al Jouf,Cases,0
2020-03-13,Asir,Cases,0
2020-03-13,Eastern Region,Cases,11
2020-03-13,Hail,Cases,0
2020-03-13,Jazan,Cases,0
2020-03-13,Mecca,Cases,27
2020-03-13,Medina,Cases,0
2020-03-13,Najran,Cases,0
2020-03-13,Northern Borders,Cases,0
2020-03-13,Qassim,Cases,0
2020-03-13,Riyadh,Cases,3
2020-03-13,Tabuk,Cases,0
2020-03-14,Al Bahah,Cases,0
2020-03-14,Al Jouf,Cases,0
2020-03-14,Asir,Cases,0
2020-03-14,Eastern Region,Cases,4
2020-03-14,Hail,Cases,0
2020-03-14,Jazan,Cases,0
2020-03-14,Mecca,Cases,1
2020-03-14,Medina,Cases,0
2020-03-14,Najran,Cases,0
2020-03-14,Northern Borders,Cases,0
2020-03-14,Qassim,Cases,0
2020-03-14,Riyadh,Cases,12
2020-03-14,Tabuk,Cases,0
2020-03-15,Al Bahah,Cases,0
2020-03-15,Al Jouf,Cases,0
2020-03-15,Asir,Cases,0
2020-03-15,Eastern Region,Cases,11
2020-03-15,Hail,Cases,0
2020-03-15,Jazan,Cases,0
2020-03-15,Mecca,Cases,2
2020-03-15,Medina,Cases,0
2020-03-15,Najran,Cases,0
2020-03-15,Northern Borders,Cases,0
2020-03-15,Qassim,Cases,0
2020-03-15,Riyadh,Cases,2
2020-03-15,Tabuk,Cases,0
2020-03-16,Al Bahah,Cases,0
2020-03-16,Al Jouf,Cases,0
2020-03-16,Asir,Cases,0
