Date,region,Cases,Mortalities,Recoveries
2020-03-02,Al Bahah,0,0,0
2020-03-02,Al Jouf,0,0,0
2020-03-02,Asir,0,0,0
2020-03-02,Eastern Region,1,0,0
2020-03-02,Hail,0,0,0
2020-03-02,Jazan,0,0,0
2020-03-02,Mecca,0,0,0
2020-03-02,Medina,0,0,0
2020-03-02,Najran,0,0,0
2020-03-02,Northern Borders,0,0,0
2020-03-02,Qassim,0,0,0
2020-03-02,Riyadh,0,0,0
2020-03-02,Tabuk,0,0,0
2020-03-04,Al Bahah,0,0,0
2020-03-04,Al Jouf,0,0,0
2020-03-04,Asir,0,0,0
2020-03-04,Eastern Region,1,0,0
2020-03-04,Hail,0,0,0
2020-03-04,Jazan,0,0,0
2020-03-04,Mecca,0,0,0
2020-03-04,Medina,0,0,0
2020-03-04,Najran,0,0,0
2020-03-04,Northern Borders,0,0,0
2020-03-04,Qassim,0,0,0
2020-03-04,Riyadh,0,0,0
2020-03-04,Tabuk,0,0,0
2020-03-05,Al Bahah,0,0,0
2020-03-05,Al Jouf,0,0,0
2020-03-05,Asir,0,0,0
2020-03-05,Eastern Region,3,0,0
2020-03-05,Hail,0,0,0
2020-03-05,Jazan,0,0,0
2020-03-05,Mecca,0,0,0
2020-03-05,Medina,0,0,0
2020-03-05,Najran,0,0,0
2020-03-05,Northern Borders,0,0,0
2020-03-05,Qassim,0,0,0
2020-03-05,Riyadh,0,0,0
2020-03-05,Tabuk,0,0,0
2020-03-07,Al Bahah,0,0,0
2020-03-07,Al Jouf,0,0,0
2020-03-07,Asir,0,0,0
2020-03-07,Eastern Region,2,0,0
2020-03-07,Hail,0,0,0
2020-03-07,Jazan,0,0,0
2020-03-07,Mecca,0,0,0
2020-03-07,Medina,0,0,0
2020-03-07,Najran,0,0,0
2020-03-07,Northern Borders,0,0,0
2020-03-07,Qassim,0,0,0
2020-03-07,Riyadh,0,0,0
2020-03-07,Tabuk,0,0,0
2020-03-08,Al Bahah,0,0,0
2020-03-08,Al Jouf,0,0,0
2020-03-08,Asir,0,0,0
2020-03-08,Eastern Region,4,0,0
2020-03-08,Hail,0,0,0
2020-03-08,Jazan,0,0,0
2020-03-08,Mecca,0,0,0
2020-03-08,Medina,0,0,0
2020-03-08,Najran,0,0,0
2020-03-08,Northern Borders,0,0,0
2020-03-08,Qassim,0,0,0
2020-03-08,Riyadh,0,0,0
2020-03-08,Tabuk,0,0,0
2020-03-09,Al Bahah,0,0,0
2020-03-09,Al Jouf,0,0,0
2020-03-09,Asir,0,0,0
2020-03-09,Eastern Region,3,0,0
2020-03-09,Hail,0,0,0
2020-03-09,Jazan,0,0,0
2020-03-09,Mecca,0,0,0
2020-03-09,Medina,0,0,0
2020-03-09,Najran,0,0,0
2020-03-09,Northern Borders,0,0,0
2020-03-09,Qassim,0,0,0
2020-03-09,Riyadh,1,0,0
2020-03-09,Tabuk,0,0,0
2020-03-10,Al Bahah,0,0,0
2020-03-10,Al Jouf,0,0,0
2020-03-10,Asir,0,0,0
2020-03-10,Eastern Region,4,0,0
2020-03-10,Hail,0,0,0
2020-03-10,Jazan,0,0,0
2020-03-10,Mecca,1,0,0
2020-03-10,Medina,0,0,0
2020-03-10,Najran,0,0,0
2020-03-10,Northern Borders,0,0,0
2020-03-10,Qassim,0,0,0
2020-03-10,Riyadh,0,0,0
2020-03-10,Tabuk,0,0,0
2020-03-11,Al Bahah,0,0,0
2020-03-11,Al Jouf,0,0,0
2020-03-11,Asir,0,0,0
2020-03-11,Eastern Region,0,0,0
2020-03-11,Hail,0,0,0
2020-03-11,Jazan,0,0,0
2020-03-11,Mecca,1,0,0
2020-03-11,Medina,0,0,0
2020-03-11,Najran,0,0,0
2020-03-11,Northern Borders,0,0,0
2020-03-11,Qassim,0,0,0
2020-03-11,Riyadh,0,0,0
2020-03-11,Tabuk,0,0,0
2020-03-12,Al Bahah,0,0,0
2020-03-12,Al Jouf,0,0,0
2020-03-12,Asir,0,0,0
2020-03-12,Eastern Region,3,0,1
2020-03-12,Hail,0,0,0
2020-03-12,Jazan,0,0,0
2020-03-12,Mecca,21,0,0
2020-03-12,Medina,0,0,0
2020-03-12,Najran,0,0,0
2020-03-12,Northern Borders,0,0,0
2020-03-12,Qassim,0,0,0
2020-03-12,Riyadh,0,0,0
2020-03-12,Tabuk,0,0,0
2020-03-13,Al Bahah,0,0,0
2020-03-13,Al Jouf,0,0,0
2020-03-13,Asir,0,0,0
2020-03-13,Eastern Region,11,0,0
2020-03-13,Hail,0,0,0
2020-03-13,Jazan,0,0,0
2020-03-13,Mecca,27,0,0
2020-03-13,Medina,0,0,0
2020-03-13,Najran,0,0,0
2020-03-13,Northern Borders,0,0,0
2020-03-13,Qassim,0,0,0
2020-03-13,Riyadh,3,0,0
2020-03-13,Tabuk,0,0,0
2020-03-14,Al Bahah,0,0,0
2020-03-14,Al Jouf,0,0,0
2020-03-14,Asir,0,0,0
2020-03-14,Eastern Region,4,0,1
2020-03-14,Hail,0,0,0
2020-03-14,Jazan,0,0,0
2020-03-14,Mecca,1,0,0
2020-03-14,Medina,0,0,0
2020-03-14,Najran,0,0,0
2020-03-14,Northern Borders,0,0,0
2020-03-14,Qassim,0,0,0
2020-03-14,Riyadh,12,0,0
2020-03-14,Tabuk,0,0,0
2020-03-15,Al Bahah,0,0,0
2020-03-15,Al Jouf,0,0,0
2020-03-15,Asir,0,0,0
2020-03-15,Eastern Region,11,0,1
2020-03-15,Hail,0,0,0
2020-03-15,Jazan,0,0,0
2020-03-15,Mecca,2,0,0
2020-03-15,Medina,0,0,0
2020-03-15,Najran,0,0,0
2020-03-15,Northern Borders,0,0,0
2020-03-15,Qassim,0,0,0
2020-03-15,Riyadh,2,0,0
2020-03-15,Tabuk,0,0,0
2020-03-16,Al Bahah,0,0,0
2020-03-16,Al Jouf,0,0,0
2020-03-16,Asir,0,0,0
2020-03-16,Eastern Region,2,0,3
2020-03-16,Hail,0,0,0
2020-03-16,Jazan,2,0,0
2020-03-16,Mecca,7,0,0
2020-03-16,Medina,0,0,0
2020-03-16,Najran,0,0,0
2020-03-16,Northern Borders,0,0,0
2020-03-16,Qassim,0,0,0
2020-03-16,Riyadh,4,0,0
2020-03-16,Tabuk,0,0,0
2020-03-17,Al Bahah,0,0,0
2020-03-17,Al Jouf,0,0,0
2020-03-17,Asir,0,0,0
2020-03-17,Eastern Region,13,0,0
2020-03-17,Hail,0,0,0
2020-03-17,Jazan,0,0,0
2020-03-17,Mecca,6,0,0
2020-03-17,Medina,0,0,0
2020-03-17,Najran,0,0,0
2020-03-17,Northern Borders,0,0,0
2020-03-17,Qassim,0,0,0
2020-03-17,Riyadh,19,0,0
2020-03-17,Tabuk,0,0,0
2020-03-18,Al Bahah,0,0,0
2020-03-18,Al Jouf,0,0,0
2020-03-18,Asir,1,0,0
2020-03-18,Eastern Region,23,0,2
2020-03-18,Hail,0,0,0
2020-03-18,Jazan,0,0,0
2020-03-18,Mecca,24,0,0
2020-03-18,Medina,0,0,0
2020-03-18,Najran,0,0,0
2020-03-18,Northern Borders,0,0,0
2020-03-18,Qassim,0,0,0
2020-03-18,Riyadh,19,0,0
2020-03-18,Tabuk,0,0,0
2020-03-19,Al Bahah,0,0,0
2020-03-19,Al Jouf,0,0,0
2020-03-19,Asir,1,0,0
2020-03-19,Eastern Region,10,0,0
2020-03-19,Hail,0,0,0
2020-03-19,Jazan,0,0,0
2020-03-19,Mecca,4,0,0
2020-03-19,Medina,0,0,0
2020-03-19,Najran,0,0,0
2020-03-19,Northern Borders,0,0,0
2020-03-19,Qassim,0,0,0
2020-03-19,Riyadh,21,0,0
2020-03-19,Tabuk,0,0,0
2020-03-20,Al Bahah,1,0,0
2020-03-20,Al Jouf,0,0,0
2020-03-20,Asir,1,0,0
2020-03-20,Eastern Region,4,0,0
2020-03-20,Hail,0,0,0
2020-03-20,Jazan,0,0,0
2020-03-20,Mecca,13,0,0
2020-03-20,Medina,1,0,0
2020-03-20,Najran,0,0,0
2020-03-20,Northern Borders,0,0,0
2020-03-20,Qassim,0,0,0
2020-03-20,Riyadh,49,0,0
2020-03-20,Tabuk,1,0,0
2020-03-21,Al Bahah,0,0,0
2020-03-21,Al Jouf,0,0,0
2020-03-21,Asir,0,0,0
2020-03-21,Eastern Region,5,0,2
2020-03-21,Hail,0,0,0
2020-03-21,Jazan,0,0,0
2020-03-21,Mecca,7,0,6
2020-03-21,Medina,0,0,0
2020-03-21,Najran,0,0,0
2020-03-21,Northern Borders,0,0,0
2020-03-21,Qassim,0,0,0
2020-03-21,Riyadh,36,0,8
2020-03-21,Tabuk,0,0,0
2020-03-22,Al Bahah,0,0,0
2020-03-22,Al Jouf,0,0,0
2020-03-22,Asir,0,0,0
2020-03-22,Eastern Region,12,0,0
2020-03-22,Hail,0,0,0
2020-03-22,Jazan,0,0,0
2020-03-22,Mecca,72,0,0
2020-03-22,Medina,0,0,0
2020-03-22,Najran,0,0,0
2020-03-22,Northern Borders,0,0,0
2020-03-22,Qassim,1,0,0
2020-03-22,Riyadh,34,0,0
2020-03-22,Tabuk,0,0,0
2020-03-23,Al Bahah,0,0,0
2020-03-23,Al Jouf,0,0,0
2020-03-23,Asir,5,0,0
2020-03-23,Eastern Region,6,0,0
2020-03-23,Hail,0,0,0
2020-03-23,Jazan,2,0,0
2020-03-23,Mecca,19,0,0
2020-03-23,Medina,0,0,0
2020-03-23,Najran,1,0,0
2020-03-23,Northern Borders,0,0,0
2020-03-23,Qassim,0,0,0
2020-03-23,Riyadh,18,0,0
2020-03-23,Tabuk,0,0,0
2020-03-24,Al Bahah,12,0,0
2020-03-24,Al Jouf,0,0,0
2020-03-24,Asir,14,0,0
2020-03-24,Eastern Region,16,0,1
2020-03-24,Hail,0,0,0
2020-03-24,Jazan,3,0,0
2020-03-24,Mecca,82,0,3
2020-03-24,Medina,1,1,0
2020-03-24,Najran,8,0,0
2020-03-24,Northern Borders,0,0,0
2020-03-24,Qassim,0,0,0
2020-03-24,Riyadh,69,0,0
2020-03-24,Tabuk,0,0,0
2020-03-25,Al Bahah,0,0,0
2020-03-25,Al Jouf,0,0,0
2020-03-25,Asir,2,0,0
2020-03-25,Eastern Region,26,0,0
2020-03-25,Hail,0,0,0
2020-03-25,Jazan,0,0,0
2020-03-25,Mecca,10,1,0
2020-03-25,Medina,6,0,0
2020-03-25,Najran,4,0,0
2020-03-25,Northern Borders,2,0,0
2020-03-25,Qassim,0,0,0
2020-03-25,Riyadh,83,0,1
2020-03-25,Tabuk,0,0,0
2020-03-26,Al Bahah,0,0,0
2020-03-26,Al Jouf,0,0,0
2020-03-26,Asir,0,0,0
2020-03-26,Eastern Region,17,0,4
2020-03-26,Hail,0,0,0
2020-03-26,Jazan,0,0,0
2020-03-26,Mecca,57,0,0
2020-03-26,Medina,3,1,0
2020-03-26,Najran,0,0,0
2020-03-26,Northern Borders,0,0,0
2020-03-26,Qassim,1,0,0
2020-03-26,Riyadh,34,0,0
2020-03-26,Tabuk,0,0,0
2020-03-27,Al Bahah,0,0,0
2020-03-27,Al Jouf,0,0,0
2020-03-27,Asir,0,0,0
2020-03-27,Eastern Region,18,0,0
2020-03-27,Hail,0,0,0
2020-03-27,Jazan,0,0,0
2020-03-27,Mecca,7,0,0
2020-03-27,Medina,19,0,0
2020-03-27,Najran,0,0,0
2020-03-27,Northern Borders,0,0,0
2020-03-27,Qassim,2,0,0
2020-03-27,Riyadh,46,0,2
2020-03-27,Tabuk,0,0,0
2020-03-28,Al Bahah,0,0,0
2020-03-28,Al Jouf,0,0,0
2020-03-28,Asir,4,0,0
2020-03-28,Eastern Region,15,0,0
2020-03-28,Hail,0,0,0
2020-03-28,Jazan,0,0,0
2020-03-28,Mecca,30,0,0
2020-03-28,Medina,6,0,0
2020-03-28,Najran,0,0,0
2020-03-28,Northern Borders,0,0,0
2020-03-28,Qassim,0,0,0
2020-03-28,Riyadh,41,1,2
2020-03-28,Tabuk,3,0,0
2020-03-29,Al Bahah,0,0,0
2020-03-29,Al Jouf,0,0,0
2020-03-29,Asir,1,0,1
2020-03-29,Eastern Region,33,0,1
2020-03-29,Hail,0,0,0
2020-03-29,Jazan,0,0,0
2020-03-29,Mecca,20,2,27
2020-03-29,Medina,14,2,0
2020-03-29,Najran,0,0,0
2020-03-29,Northern Borders,0,0,0
2020-03-29,Qassim,0,0,0
2020-03-29,Riyadh,27,0,0
2020-03-29,Tabuk,1,0,0
2020-03-30,Al Bahah,0,0,0
2020-03-30,Al Jouf,0,0,0
2020-03-30,Asir,1,0,0
2020-03-30,Eastern Region,52,0,1
2020-03-30,Hail,0,0,0
2020-03-30,Jazan,1,0,0
2020-03-30,Mecca,51,0,46
2020-03-30,Medina,23,0,0
2020-03-30,Najran,0,0,0
2020-03-30,Northern Borders,0,0,0
2020-03-30,Qassim,2,0,0
2020-03-30,Riyadh,23,0,2
2020-03-30,Tabuk,1,0,0
2020-03-31,Al Bahah,0,0,0
2020-03-31,Al Jouf,0,0,0
2020-03-31,Asir,2,0,0
2020-03-31,Eastern Region,20,0,3
2020-03-31,Hail,0,0,0
2020-03-31,Jazan,2,0,0
2020-03-31,Mecca,49,0,40
2020-03-31,Medina,3,2,0
2020-03-31,Najran,0,0,0
2020-03-31,Northern Borders,0,0,0
2020-03-31,Qassim,1,0,0
2020-03-31,Riyadh,33,0,7
2020-03-31,Tabuk,0,0,0
2020-04-01,Al Bahah,0,0,0
2020-04-01,Al Jouf,0,0,0
2020-04-01,Asir,0,0,0
2020-04-01,Eastern Region,9,0,13
2020-04-01,Hail,0,0,0
2020-04-01,Jazan,0,0,3
2020-04-01,Mecca,60,1,57
2020-04-01,Medina,78,4,0
2020-04-01,Najran,0,0,1
2020-04-01,Northern Borders,0,0,0
2020-04-01,Qassim,1,0,1
2020-04-01,Riyadh,7,1,24
2020-04-01,Tabuk,2,0,0
2020-04-02,Al Bahah,0,0,0
2020-04-02,Al Jouf,0,0,0
2020-04-02,Asir,10,1,6
2020-04-02,Eastern Region,24,1,8
2020-04-02,Hail,0,0,0
2020-04-02,Jazan,0,0,4
2020-04-02,Mecca,78,0,22
2020-04-02,Medina,46,3,2
2020-04-02,Najran,0,0,13
2020-04-02,Northern Borders,0,0,2
2020-04-02,Qassim,0,0,0
2020-04-02,Riyadh,7,0,7
2020-04-02,Tabuk,0,0,0
2020-04-03,Al Bahah,0,0,0
2020-04-03,Al Jouf,0,0,0
2020-04-03,Asir,3,0,5
2020-04-03,Eastern Region,19,0,4
2020-04-03,Hail,0,0,0
2020-04-03,Jazan,0,0,0
2020-04-03,Mecca,51,1,10
2020-04-03,Medina,34,3,2
2020-04-03,Najran,3,0,0
2020-04-03,Northern Borders,0,0,0
2020-04-03,Qassim,12,0,0
2020-04-03,Riyadh,13,0,2
2020-04-03,Tabuk,19,0,0
2020-04-04,Al Bahah,0,0,4
2020-04-04,Al Jouf,0,0,0
2020-04-04,Asir,2,0,8
2020-04-04,Eastern Region,32,0,4
2020-04-04,Hail,0,0,0
2020-04-04,Jazan,1,0,6
2020-04-04,Mecca,57,2,38
2020-04-04,Medina,2,2,0
2020-04-04,Najran,0,0,1
2020-04-04,Northern Borders,0,0,0
2020-04-04,Qassim,1,0,1
2020-04-04,Riyadh,82,0,7
2020-04-04,Tabuk,5,0,0
2020-04-05,Al Bahah,1,0,0
2020-04-05,Al Jouf,0,0,0
2020-04-05,Asir,8,0,1
2020-04-05,Eastern Region,29,0,4
2020-04-05,Hail,0,0,0
2020-04-05,Jazan,0,0,0
2020-04-05,Mecca,98,3,2
2020-04-05,Medina,6,1,0
2020-04-05,Najran,0,0,0
2020-04-05,Northern Borders,0,0,0
2020-04-05,Qassim,0,0,0
2020-04-05,Riyadh,37,1,61
2020-04-05,Tabuk,2,0,0
2020-04-06,Al Bahah,0,0,0
2020-04-06,Al Jouf,0,0,0
2020-04-06,Asir,14,0,3
2020-04-06,Eastern Region,21,1,4
2020-04-06,Hail,0,0,0
2020-04-06,Jazan,7,0,0
2020-04-06,Mecca,74,2,0
2020-04-06,Medina,12,0,0
2020-04-06,Najran,7,0,1
2020-04-06,Northern Borders,0,0,0
2020-04-06,Qassim,2,1,1
2020-04-06,Riyadh,65,0,54
2020-04-06,Tabuk,1,0,0
2020-04-07,Al Bahah,0,0,0
2020-04-07,Al Jouf,0,0,0
2020-04-07,Asir,5,0,0
2020-04-07,Eastern Region,31,1,17
2020-04-07,Hail,0,0,0
2020-04-07,Jazan,3,0,0
2020-04-07,Mecca,99,2,2
2020-04-07,Medina,81,0,0
2020-04-07,Najran,5,0,0
2020-04-07,Northern Borders,0,0,0
2020-04-07,Qassim,3,0,0
2020-04-07,Riyadh,97,0,57
2020-04-07,Tabuk,3,0,4
2020-04-08,Al Bahah,1,0,0
2020-04-08,Al Jouf,0,0,0
2020-04-08,Asir,3,0,0
2020-04-08,Eastern Region,12,2,2
2020-04-08,Hail,0,0,0
2020-04-08,Jazan,0,0,0
2020-04-08,Mecca,127,1,0
2020-04-08,Medina,93,0,0
2020-04-08,Najran,1,0,0
2020-04-08,Northern Borders,0,0,0
2020-04-08,Qassim,3,0,0
2020-04-08,Riyadh,89,0,33
2020-04-08,Tabuk,26,0,0
2020-04-09,Al Bahah,0,0,0
2020-04-09,Al Jouf,0,0,0
2020-04-09,Asir,0,0,0
2020-04-09,Eastern Region,27,0,7
2020-04-09,Hail,0,0,0
2020-04-09,Jazan,0,0,0
2020-04-09,Mecca,151,1,4
2020-04-09,Medina,80,0,0
2020-04-09,Najran,0,0,0
2020-04-09,Northern Borders,1,0,0
2020-04-09,Qassim,10,1,0
2020-04-09,Riyadh,73,1,8
2020-04-09,Tabuk,22,0,0
2020-04-10,Al Bahah,0,0,0
2020-04-10,Al Jouf,0,0,0
2020-04-10,Asir,3,0,0
2020-04-10,Eastern Region,19,0,7
2020-04-10,Hail,1,0,0
2020-04-10,Jazan,0,0,0
2020-04-10,Mecca,183,4,12
2020-04-10,Medina,100,1,0
2020-04-10,Najran,0,0,0
2020-04-10,Northern Borders,0,0,0
2020-04-10,Qassim,0,0,0
2020-04-10,Riyadh,76,0,16
2020-04-10,Tabuk,0,0,0
2020-04-11,Al Bahah,0,0,0
2020-04-11,Al Jouf,0,0,0
2020-04-11,Asir,5,0,0
2020-04-11,Eastern Region,13,1,16
2020-04-11,Hail,0,0,0
2020-04-11,Jazan,6,0,0
2020-04-11,Mecca,124,4,6
2020-04-11,Medina,80,2,0
2020-04-11,Najran,0,0,0
2020-04-11,Northern Borders,0,0,0
2020-04-11,Qassim,0,0,0
2020-04-11,Riyadh,198,0,19
2020-04-11,Tabuk,3,0,0
2020-04-12,Al Bahah,0,0,0
2020-04-12,Al Jouf,0,0,0
2020-04-12,Asir,7,0,0
2020-04-12,Eastern Region,8,1,20
2020-04-12,Hail,0,0,0
2020-04-12,Jazan,0,0,0
2020-04-12,Mecca,192,2,9
2020-04-12,Medina,113,3,0
2020-04-12,Najran,1,0,0
2020-04-12,Northern Borders,8,0,0
2020-04-12,Qassim,2,0,1
2020-04-12,Riyadh,119,0,13
2020-04-12,Tabuk,22,0,1
2020-04-13,Al Bahah,1,0,0
2020-04-13,Al Jouf,0,0,0
2020-04-13,Asir,2,0,0
2020-04-13,Eastern Region,93,0,6
