region,Date,Cases,Cumulative Cases
Al Bahah,2020-03-08,0,0
Al Bahah,2020-03-15,0,0
Al Bahah,2020-03-22,1,1
Al Bahah,2020-03-29,12,13
Al Bahah,2020-04-05,1,14
Al Bahah,2020-04-12,1,15
Al Bahah,2020-04-19,10,25
Al Bahah,2020-04-26,21,46
Al Bahah,2020-05-03,28,74
Al Bahah,2020-05-10,9,83
Al Bahah,2020-05-17,39,122
Al Bahah,2020-05-24,26,148
Al Bahah,2020-05-31,28,176
Al Bahah,2020-06-07,36,212
Al Bahah,2020-06-14,83,295
Al Bahah,2020-06-21,166,461
Al Bahah,2020-06-28,180,641
Al Bahah,2020-07-05,139,780
Al Bahah,2020-07-12,235,1015
Al Bahah,2020-07-19,113,1128
Al Jouf,2020-03-08,0,0
Al Jouf,2020-03-15,0,0
Al Jouf,2020-03-22,0,0
Al Jouf,2020-03-29,0,0
Al Jouf,2020-04-05,0,0
Al Jouf,2020-04-12,0,0
Al Jouf,2020-04-19,0,0
Al Jouf,2020-04-26,9,9
Al Jouf,2020-05-03,2,11
Al Jouf,2020-05-10,3,14
Al Jouf,2020-05-17,26,40
Al Jouf,2020-05-24,10,50
Al Jouf,2020-05-31,15,65
Al Jouf,2020-06-07,6,71
Al Jouf,2020-06-14,19,90
Al Jouf,2020-06-21,33,123
Al Jouf,2020-06-28,79,202
Al Jouf,2020-07-05,111,313
Al Jouf,2020-07-12,150,463
Al Jouf,2020-07-19,58,521
Asir,2020-03-08,0,0
Asir,2020-03-15,0,0
Asir,2020-03-22,3,3
Asir,2020-03-29,26,29
Asir,2020-04-05,26,55
Asir,2020-04-12,37,92
Asir,2020-04-19,18,110
Asir,2020-04-26,49,159
Asir,2020-05-03,70,229
Asir,2020-05-10,127,356
Asir,2020-05-17,121,477
Asir,2020-05-24,153,630
Asir,2020-05-31,173,803
Asir,2020-06-07,466,1269
Asir,2020-06-14,940,2209
Asir,2020-06-21,1901,4110
Asir,2020-06-28,3063,7173
Asir,2020-07-05,3846,11019
Asir,2020-07-12,2975,13994
Asir,2020-07-19,835,14829
Eastern Region,2020-03-08,11,11
Eastern Region,2020-03-15,36,47
Eastern Region,2020-03-22,69,116
Eastern Region,2020-03-29,131,247
Eastern Region,2020-04-05,185,432
Eastern Region,2020-04-12,131,563
Eastern Region,2020-04-19,1031,1594
Eastern Region,2020-04-26,1338,2932
Eastern Region,2020-05-03,2487,5419
Eastern Region,2020-05-10,2512,7931
Eastern Region,2020-05-17,3204,11135
Eastern Region,2020-05-24,2877,14012
Eastern Region,2020-05-31,2658,16670
Eastern Region,2020-06-07,4361,21031
Eastern Region,2020-06-14,6128,27159
Eastern Region,2020-06-21,7505,34664
Eastern Region,2020-06-28,10367,45031
Eastern Region,2020-07-05,9780,54811
Eastern Region,2020-07-12,6249,61060
Eastern Region,2020-07-19,2527,63587
Hail,2020-03-08,0,0
Hail,2020-03-15,0,0
Hail,2020-03-22,0,0
Hail,2020-03-29,0,0
Hail,2020-04-05,0,0
Hail,2020-04-12,1,1
Hail,2020-04-19,6,7
Hail,2020-04-26,21,28
Hail,2020-05-03,6,34
Hail,2020-05-10,16,50
Hail,2020-05-17,53,103
Hail,2020-05-24,127,230
Hail,2020-05-31,133,363
Hail,2020-06-07,42,405
Hail,2020-06-14,140,545
Hail,2020-06-21,345,890
Hail,2020-06-28,588,1478
Hail,2020-07-05,530,2008
Hail,2020-07-12,649,2657
Hail,2020-07-19,347,3004
Jazan,2020-03-08,0,0
Jazan,2020-03-15,0,0
Jazan,2020-03-22,2,2
Jazan,2020-03-29,5,7
Jazan,2020-04-05,4,11
Jazan,2020-04-12,16,27
