Daily / Cumulative;Indicator;Date;Event;region;City;Cases
Daily;Cases;2020-03-04;Umrah suspension;Total;Total;1
Daily;Cases;2020-03-08;;Eastern Region;Qatif;4
Daily;Cases;2020-03-09;flights suspended to number of countries;Total;Total;4
Daily;Cases;2020-03-11;;Total;Total;1
Daily;Cases;2020-03-12;;Total;Total;24
Daily;Cases;2020-03-13;;Total;Total;41
Daily;Cases;2020-03-13;;Mecca;Jeddah;1
Daily;Cases;2020-03-14;;Riyadh;Riyadh;12
Daily;Cases;2020-03-15;International flights suspension for 14 days;Riyadh;Riyadh;2
Daily;Cases;2020-03-15;International flights suspension for 14 days;Eastern Region;Dammam;1
Daily;Cases;2020-03-15;International flights suspension for 14 days;Total;Total;15
Daily;Cases;2020-03-15;International flights suspension for 14 days;Mecca;Jeddah;2
Daily;Cases;2020-03-15;International flights suspension for 14 days;Eastern Region;Dahran;3
Daily;Cases;2020-03-16;Gov / private suspension;Eastern Region;Qatif;1
Daily;Cases;2020-03-16;Gov / private suspension;Eastern Region;Dahran;1
Daily;Cases;2020-03-19;;Mecca;Mecca;3
Daily;Cases;2020-03-19;;Eastern Region;Dahran;1
Daily;Cases;2020-03-20;;Mecca;Mecca;2
Daily;Cases;2020-03-20;;Total;Total;70
Daily;Cases;2020-03-20;;Eastern Region;Hafr Al Batin;1
Daily;Cases;2020-03-21;Domestic flights suspension;Eastern Region;Qatif;1
Daily;Cases;2020-03-21;Domestic flights suspension;Eastern Region;Dahran;1
Daily;Cases;2020-03-23;Curfew started for 21 days (6am -7 pm);Eastern Region;Qatif;3
Daily;Cases;2020-03-23;Curfew started for 21 days (6am -7 pm);Eastern Region;Dammam;3
Daily;Cases;2020-03-24;;Asir;Abha;6
Daily;Cases;2020-03-24;;Eastern Region;Dahran;2
Daily;Cases;2020-03-25;;Riyadh;Riyadh;83
Daily;Cases;2020-03-25;;Najran;Najran;4
Daily;Cases;2020-03-25;;Eastern Region;Khobar;5
Daily;Cases;2020-03-25;;Mecca;Jeddah;10
Daily;Cases;2020-03-25;;Eastern Region;Dahran;1
Daily;Cases;2020-03-26;Riyadh, Makkah and Madinah lockdown - curfew (6am - 3pm);Qassim;Buraydah;1
Daily;Cases;2020-03-26;Riyadh, Makkah and Madinah lockdown - curfew (6am - 3pm);Eastern Region;Qatif;5
Daily;Cases;2020-03-26;Riyadh, Makkah and Madinah lockdown - curfew (6am - 3pm);Eastern Region;Khafji;1
Daily;Cases;2020-03-28;;Asir;Abha;1
Daily;Cases;2020-03-28;;Asir;Khamis Mushait;3
Daily;Cases;2020-03-28;;Eastern Region;Khobar;1
Daily;Cases;2020-03-29;Jeddah lockdown;Eastern Region;Hufof;1
Daily;Cases;2020-03-29;Jeddah lockdown;Riyadh;Riyadh;27
Daily;Cases;2020-03-29;Jeddah lockdown;Mecca;Mecca;7
Daily;Cases;2020-03-29;Jeddah lockdown;Eastern Region;Saihat;1
Daily;Cases;2020-03-29;Jeddah lockdown;Eastern Region;Ras Tanura;1
Daily;Cases;2020-03-30;Makkah lockdown;Eastern Region;Qatif;5
Daily;Cases;2020-03-30;Makkah lockdown;Tabuk;Tabuk;1
Daily;Cases;2020-03-30;Makkah lockdown;Eastern Region;Dammam;34
Daily;Cases;2020-03-30;Makkah lockdown;Jazan;Samtah;1
Daily;Cases;2020-03-30;Makkah lockdown;Eastern Region;Dahran;1
Daily;Cases;2020-03-31;;Riyadh;Riyadh;33
Daily;Cases;2020-03-31;;Eastern Region;Qatif;7
Daily;Cases;2020-04-01;;Eastern Region;Qatif;6
Daily;Cases;2020-04-01;;Mecca;Mecca;55
Daily;Cases;2020-04-01;;Medina;Medina;78
Daily;Cases;2020-04-02;Makkah , Madinah 24 hours curfew;Asir;Khamis Mushait;6
Daily;Cases;2020-04-02;Makkah , Madinah 24 hours curfew;Asir;Bisha;1
Daily;Cases;2020-04-02;Makkah , Madinah 24 hours curfew;Eastern Region;Dahran;4
Daily;Cases;2020-04-03;;Qassim;Ar Rass;3
Daily;Cases;2020-04-03;;Riyadh;Riyadh;13
Daily;Cases;2020-04-03;;Eastern Region;Dammam;1
Daily;Cases;2020-04-03;;Total;Total;154
Daily;Cases;2020-04-03;;Eastern Region;Dahran;2
Daily;Cases;2020-04-04;Jeddah areas lockdown - 24 h curfew;Riyadh;Riyadh;80
Daily;Cases;2020-04-04;Jeddah areas lockdown - 24 h curfew;Mecca;Mecca;25
Daily;Cases;2020-04-04;Jeddah areas lockdown - 24 h curfew;Asir;Khamis Mushait;1
Daily;Cases;2020-04-04;Jeddah areas lockdown - 24 h curfew;Mecca;Jeddah;28
Daily;Cases;2020-04-04;Jeddah areas lockdown - 24 h curfew;Eastern Region;Dahran;2
Daily;Cases;2020-04-04;Jeddah areas lockdown - 24 h curfew;Medina;Medina;2
Daily;Cases;2020-04-05;;Eastern Region;Qatif;7
Daily;Cases;2020-04-05;;Tabuk;Tabuk;2
Daily;Cases;2020-04-05;;Asir;Khamis Mushait;5
Daily;Cases;2020-04-05;;Total;Total;181
Daily;Cases;2020-04-05;;Asir;Ahad Rafidah;1
Daily;Cases;2020-04-05;;Medina;Medina;6
Daily;Cases;2020-04-06;Riyadh, Dammam , Tabuk , Dahran, Hafuf, Jeddah, Taif, Qatif , Khobar24h curfew;Qassim;Buraydah;2
Daily;Cases;2020-04-06;Riyadh, Dammam , Tabuk , Dahran, Hafuf, Jeddah, Taif, Qatif , Khobar24h curfew;Eastern Region;Qatif;13
Daily;Cases;2020-04-06;Riyadh, Dammam , Tabuk , Dahran, Hafuf, Jeddah, Taif, Qatif , Khobar24h curfew;Mecca;Jeddah;38
Daily;Cases;2020-04-06;Riyadh, Dammam , Tabuk , Dahran, Hafuf, Jeddah, Taif, Qatif , Khobar24h curfew;Medina;Medina;11
Daily;Cases;2020-04-07;;Eastern Region;Hufof;4
Daily;Cases;2020-04-07;;Mecca;Taif;4
Daily;Cases;2020-04-07;;Eastern Region;Qatif;13
Daily;Cases;2020-04-07;;Mecca;Jeddah;44
Daily;Cases;2020-04-07;;Jazan;Aridah;1
Daily;Cases;2020-04-08;;Al Bahah;Al Bahah;1
Daily;Cases;2020-04-08;;Mecca;Mecca;78
Daily;Cases;2020-04-08;;Najran;Najran;1
Daily;Cases;2020-04-08;;Medina;Medina;89
Daily;Cases;2020-04-09;;Medina;Yanbu;2
Daily;Cases;2020-04-09;;Northern Borders;Arar;1
Daily;Cases;2020-04-09;;Riyadh;Kharj;3
Daily;Cases;2020-04-09;;Total;Total;364
Daily;Cases;2020-04-09;;Eastern Region;Dahran;2
Daily;Cases;2020-04-10;;Eastern Region;Hufof;3
Daily;Cases;2020-04-10;;Mecca;Maisan;1
Daily;Cases;2020-04-11;;Mecca;Taif;2
Daily;Cases;2020-04-11;;Tabuk;Tabuk;3
Daily;Cases;2020-04-11;;Asir;Khamis Mushait;5
Daily;Cases;2020-04-11;;Medina;Medina;73
Daily;Cases;2020-04-12;;Mecca;Taif;8
Daily;Cases;2020-04-12;;Mecca;Mecca;95
Daily;Cases;2020-04-12;;Tabuk;Tabuk;22
Daily;Cases;2020-04-12;;Mecca;Al Qunfudhah;1
Daily;Cases;2020-04-12;;Mecca;Jeddah;80
Daily;Cases;2020-04-13;;Eastern Region;Dammam;69
Daily;Cases;2020-04-13;;Medina;Medina;50
Daily;Cases;2020-04-14;;Mecca;Jeddah;69
Daily;Cases;2020-04-14;;Eastern Region;Dahran;1
Daily;Cases;2020-04-15;;Eastern Region;Dammam;38
Daily;Cases;2020-04-15;;Eastern Region;Al Jafr;1
Daily;Cases;2020-04-15;;Total;Total;518
Daily;Cases;2020-04-15;;Eastern Region;Dahran;1
Daily;Cases;2020-04-16;;Riyadh;Riyadh;24
Daily;Cases;2020-04-16;;Najran;Najran;1
Daily;Cases;2020-04-16;;Jazan;Jazan;1
Daily;Cases;2020-04-17;;Mecca;Taif;10
Daily;Cases;2020-04-17;;Qassim;Unayzah;1
Daily;Cases;2020-04-17;;Tabuk;Tabuk;13
Daily;Cases;2020-04-17;;Eastern Region;Dammam;88
Daily;Cases;2020-04-17;;Eastern Region;Jubail;27
Daily;Cases;2020-04-17;;Mecca;Al Qunfudhah;4
Daily;Cases;2020-04-17;;Asir;Thurayban;1
Daily;Cases;2020-04-17;;Medina;Medina;186
Daily;Cases;2020-04-18;;Qassim;Unayzah;3
Daily;Cases;2020-04-19;;Total;Total;1122
Daily;Cases;2020-04-19;;Najran;Najran;3
Daily;Cases;2020-04-20;;Al Bahah;Al Makhwa;3
Daily;Cases;2020-04-20;;Al Jouf;Sakakah;1
Daily;Cases;2020-04-21;;Tabuk;Al Wajh;1
Daily;Cases;2020-04-21;;Tabuk;Tabuk;35
Daily;Cases;2020-04-21;;Riyadh;Kharj;3
Daily;Cases;2020-04-21;;Asir;Bisha;18
Daily;Cases;2020-04-21;;Mecca;Jeddah;114
Daily;Cases;2020-04-21;;Jazan;Al Tuwal;2
Daily;Cases;2020-04-21;;Tabuk;Qurayyat;1
Daily;Cases;2020-04-22;;Medina;Yanbu;4
Daily;Cases;2020-04-22;;Mecca;Taif;32
Daily;Cases;2020-04-22;;Northern Borders;Arar;1
Daily;Cases;2020-04-22;;Asir;Abha;1
Daily;Cases;2020-04-22;;Eastern Region;Jubail;40
Daily;Cases;2020-04-22;;Total;Total;1158
Daily;Cases;2020-04-22;;Najran;Najran;1
Daily;Cases;2020-04-22;;Eastern Region;Hafr Al Batin;1
Daily;Cases;2020-04-22;;Al Bahah;Al Aqiq;1
Daily;Cases;2020-04-23;;Riyadh;Al Majmaah;1
Daily;Cases;2020-04-23;;Mecca;Rabigh;5
Daily;Cases;2020-04-23;;Eastern Region;Hufof;40
Daily;Cases;2020-04-23;;Northern Borders;Arar;2
Daily;Cases;2020-04-23;;Al Jouf;Sakakah;5
Daily;Cases;2020-04-23;;Medina;Mahd Al Dhahab;3
Daily;Cases;2020-04-23;;Eastern Region;Hafr Al Batin;13
Daily;Cases;2020-04-24;;Mecca;Turbah;1
Daily;Cases;2020-04-24;;Riyadh;Riyadh;170
Daily;Cases;2020-04-24;;Eastern Region;Jubail;26
Daily;Cases;2020-04-24;;Mecca;Al Qunfudhah;1
Daily;Cases;2020-04-24;;Jazan;Baish;20
Daily;Cases;2020-04-24;;Medina;Medina;120
Daily;Cases;2020-04-25;Partial lifting of curfew in all cities except Makkah;Riyadh;Wadi Addawasir;2
Daily;Cases;2020-04-25;Partial lifting of curfew in all cities except Makkah;Tabuk;Tabuk;3
Daily;Cases;2020-04-25;Partial lifting of curfew in all cities except Makkah;Jazan;Abu Arish;10
Daily;Cases;2020-04-25;Partial lifting of curfew in all cities except Makkah;Mecca;Jeddah;117
Daily;Cases;2020-04-25;Partial lifting of curfew in all cities except Makkah;Jazan;Baish;113
Daily;Cases;2020-04-25;Partial lifting of curfew in all cities except Makkah;Medina;Medina;217
Daily;Cases;2020-04-26;;Eastern Region;Hufof;37
Daily;Cases;2020-04-26;;Mecca;Mecca;218
Daily;Cases;2020-04-26;;Al Jouf;Sakakah;1
Daily;Cases;2020-04-27;;Mecca;Taif;32
Daily;Cases;2020-04-27;;Riyadh;Riyadh;171
Daily;Cases;2020-04-27;;Mecca;Mecca;327
Daily;Cases;2020-04-27;;Tabuk;Tabuk;29
Daily;Cases;2020-04-27;;Eastern Region;Dammam;35
Daily;Cases;2020-04-27;;Riyadh;Diriyah;2
Daily;Cases;2020-04-27;;Asir;Khamis Mushait;1
Daily;Cases;2020-04-27;;Eastern Region;Bqeeq;1
Daily;Cases;2020-04-27;;Jazan;Sabya;1
Daily;Cases;2020-04-27;;Eastern Region;Hafr Al Batin;1
Daily;Cases;2020-04-28;;Eastern Region;Hufof;42
Daily;Cases;2020-04-28;;Tabuk;Tabuk;4
Daily;Cases;2020-04-28;;Riyadh;Diriyah;4
Daily;Cases;2020-04-28;;Mecca;Al Qunfudhah;2
Daily;Cases;2020-04-29;;Eastern Region;Hufof;29
Daily;Cases;2020-04-29;;Mecca;Taif;17
Daily;Cases;2020-04-29;;Eastern Region;Qatif;23
Daily;Cases;2020-04-29;;Tabuk;Qurayyat;1
Daily;Cases;2020-04-30;;Medina;Yanbu;9
Daily;Cases;2020-04-30;;Riyadh;Riyadh;282
Daily;Cases;2020-04-30;;Riyadh;Sajer;1
Daily;Cases;2020-04-30;;Eastern Region;Dammam;114
Daily;Cases;2020-04-30;;Eastern Region;Jubail;171
Daily;Cases;2020-04-30;;Riyadh;Kharj;3
Daily;Cases;2020-05-01;;Eastern Region;Hufof;64
Daily;Cases;2020-05-01;;Mecca;Turbah;1
Daily;Cases;2020-05-01;;Al Bahah;Baljurashi;3
Daily;Cases;2020-05-01;;Eastern Region;Nairyah;3
Daily;Cases;2020-05-01;;Eastern Region;Bqeeq;4
Daily;Cases;2020-05-01;;Eastern Region;Ras Tanura;9
Daily;Cases;2020-05-01;;Medina;Medina;249
Daily;Cases;2020-05-02;;Riyadh;Al Majmaah;1
Daily;Cases;2020-05-02;;Qassim;Ar Rass;1
Daily;Cases;2020-05-02;;Eastern Region;Qatif;5
Daily;Cases;2020-05-03;;Eastern Region;Hufof;133
Daily;Cases;2020-05-03;;Riyadh;Az Zulfi;5
Daily;Cases;2020-05-03;;Riyadh;Howtat Bani Tamim;1
Daily;Cases;2020-05-03;;Total;Total;1645
Daily;Cases;2020-05-03;;Jazan;Baish;53
Daily;Cases;2020-05-04;;Eastern Region;Qaryat Al Ulya;12
Daily;Cases;2020-05-04;;Eastern Region;Nairyah;14
Daily;Cases;2020-05-04;;Riyadh;Diriyah;11
Daily;Cases;2020-05-04;;Mecca;Al Qunfudhah;1
Daily;Cases;2020-05-04;;Mecca;Jeddah;385
Daily;Cases;2020-05-04;;Mecca;Alqarei;1
Daily;Cases;2020-05-04;;Tabuk;Duba;1
Daily;Cases;2020-05-04;;Medina;Medina;25
Daily;Cases;2020-05-05;;Riyadh;Layla;1
Daily;Cases;2020-05-05;;Medina;Yanbu;21
Daily;Cases;2020-05-05;;Eastern Region;Hufof;53
Daily;Cases;2020-05-05;;Eastern Region;Dammam;84
Daily;Cases;2020-05-05;;Total;Total;1687
Daily;Cases;2020-05-05;;Riyadh;Dhurma;5
Daily;Cases;2020-05-05;;Mecca;Al Lith;2
Daily;Cases;2020-05-05;;Eastern Region;Dahran;4
Daily;Cases;2020-05-06;;Riyadh;Al Majmaah;1
Daily;Cases;2020-05-06;;Eastern Region;Hufof;40
Daily;Cases;2020-05-06;;Mecca;Hadda;1
Daily;Cases;2020-05-06;;Tabuk;Umluj;2
Daily;Cases;2020-05-06;;Eastern Region;Khobar;120
Daily;Cases;2020-05-06;;Mecca;Jeddah;315
Daily;Cases;2020-05-06;;Mecca;Al Hadban;8
Daily;Cases;2020-05-06;;Eastern Region;Hafr Al Batin;6
Daily;Cases;2020-05-06;;Medina;Al Ais;5
Daily;Cases;2020-05-07;;Mecca;Adham;3
Daily;Cases;2020-05-07;;Al Bahah;Baljurashi;1
Daily;Cases;2020-05-07;;Mecca;Mecca;246
Daily;Cases;2020-05-07;;Riyadh;Diriyah;10
Daily;Cases;2020-05-07;;Mecca;Hadda;10
Daily;Cases;2020-05-07;;Tabuk;Duba;1
Daily;Cases;2020-05-08;;Mecca;Adham;1
Daily;Cases;2020-05-08;;Eastern Region;Safwa;9
Daily;Cases;2020-05-08;;Mecca;Taif;107
Daily;Cases;2020-05-08;;Qassim;Buraydah;18
Daily;Cases;2020-05-08;;Eastern Region;Qatif;15
Daily;Cases;2020-05-08;;Northern Borders;Al Judayyidah;38
Daily;Cases;2020-05-08;;Qassim;Al Mithnab;1
Daily;Cases;2020-05-08;;Medina;Mahd Al Dhahab;1
Daily;Cases;2020-05-08;;Eastern Region;Al Jafr;1
Daily;Cases;2020-05-08;;Mecca;Hadda;33
Daily;Cases;2020-05-08;;Eastern Region;Bqeeq;2
Daily;Cases;2020-05-08;;Asir;Muhayil Aseer;6
Daily;Cases;2020-05-08;;Eastern Region;Khafji;2
Daily;Cases;2020-05-08;;Eastern Region;Dahran;6
Daily;Cases;2020-05-09;;Hail;Ha'il;4
Daily;Cases;2020-05-09;;Riyadh;Al Majmaah;13
Daily;Cases;2020-05-09;;Medina;Wadi Al Fara'a;4
Daily;Cases;2020-05-09;;Al Bahah;Al Bahah;2
Daily;Cases;2020-05-09;;Tabuk;Tabuk;8
Daily;Cases;2020-05-09;;Eastern Region;Jubail;30
Daily;Cases;2020-05-09;;Eastern Region;Khobar;6
Daily;Cases;2020-05-09;;Jazan;Sabya;9
Daily;Cases;2020-05-09;;Eastern Region;Hafr Al Batin;2
Daily;Cases;2020-05-09;;Jazan;Baish;20
Daily;Cases;2020-05-09;;Eastern Region;Dahran;8
Daily;Cases;2020-05-09;;Medina;Medina;248
Daily;Cases;2020-05-10;;Eastern Region;Safwa;5
Daily;Cases;2020-05-10;;Mecca;Al Sehen;1
Daily;Cases;2020-05-10;;Riyadh;Az Zulfi;1
Daily;Cases;2020-05-10;;Eastern Region;Nairyah;3
Daily;Cases;2020-05-10;;Asir;Thurayban;2
Daily;Cases;2020-05-11;;Riyadh;Thadiq;1
Daily;Cases;2020-05-11;;Riyadh;Al Majmaah;57
Daily;Cases;2020-05-11;;Eastern Region;Hufof;91
Daily;Cases;2020-05-11;;Mecca;Taif;16
Daily;Cases;2020-05-11;;Riyadh;Shaqra;1
Daily;Cases;2020-05-11;;Asir;Namira;1
Daily;Cases;2020-05-11;;Eastern Region;Qatif;17
Daily;Cases;2020-05-11;;Tabuk;Tabuk;27
Daily;Cases;2020-05-11;;Riyadh;Ad Dilam;3
Daily;Cases;2020-05-11;;Northern Borders;Hazm Al Jalamid;18
Daily;Cases;2020-05-11;;Mecca;Al Qunfudhah;2
Daily;Cases;2020-05-11;;Najran;Najran;5
Daily;Cases;2020-05-12;;Qassim;Buraydah;1
Daily;Cases;2020-05-12;;Qassim;Ar Rass;1
Daily;Cases;2020-05-12;;Al Bahah;Al Makhwa;1
Daily;Cases;2020-05-12;;Eastern Region;Salwa;4
